Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
HD21120,03:24:48.7914,+09:01:43.994,G6III,4744.0,4.49,3.6,3.2569999999999997,58.46,HD21120_harps_all-data_v1.dat,HD21120_harps_all-data_v1.csv
HD211317,22:18:49.6594,-68:18:47.145,G5III/IV,5928.7,7.9,7.25,7.098,47.36,HD211317_harps_all-data_v1.dat,HD211317_harps_all-data_v1.csv
HD21132,03:21:24.2776,-61:29:17.088,F5/6V,6287.5,8.35,7.86,7.726,52.01,HD21132_harps_all-data_v1.dat,HD21132_harps_all-data_v1.csv
HD211420,22:16:40.1519,+12:55:12.977,K0,4942.7,8.47,7.47,7.197,254.79,HD211420_harps_all-data_v1.dat,HD211420_harps_all-data_v1.csv
HD2114,00:25:24.2083,+01:56:22.892,G8III,5230.7,6.6160000000000005,5.77,5.532,182.11,HD2114_harps_all-data_v1.dat,HD2114_harps_all-data_v1.csv
HD211532,22:17:50.8031,-07:35:16.211,K0V,5361.7,10.06,9.27,9.103,50.19,HD211532_harps_all-data_v1.dat,HD211532_harps_all-data_v1.csv
HD21161,03:24:24.7351,-15:39:13.816,G1/2V,5874.0,8.12,7.51,7.36,51.2,HD21161_harps_all-data_v1.dat,HD21161_harps_all-data_v1.csv
HD211723,22:19:52.5891,-37:16:31.501,K5.5Vk:,4426.2,11.3,10.09,9.698,34.3,HD211723_harps_all-data_v1.dat,HD211723_harps_all-data_v1.csv
HD211976,22:20:55.7976,+08:11:12.268,F5V,6486.0,6.621,6.162999999999999,6.051,31.41,HD211976_harps_all-data_v1.dat,HD211976_harps_all-data_v1.csv
HD212036,22:22:13.6334,-39:49:12.532,G5V,5709.6,9.15,8.47,8.345,52.95,HD212036_harps_all-data_v1.dat,HD212036_harps_all-data_v1.csv
HD21209A,03:23:17.1766,-49:59:30.914,K3.5V,,9.67,8.59,8.183,19.3,HD21209A_harps_all-data_v1.dat,HD21209A_harps_all-data_v1.csv
HD21209B,03:23:15.8895,-49:59:38.742,K8Vk:,,11.71,10.32,9.517999999999999,19.3,HD21209B_harps_all-data_v1.dat,HD21209B_harps_all-data_v1.csv
HD212231,22:23:14.4741,-25:50:32.226,G2V,,8.47,7.86,7.707000000000001,56.52,HD212231_harps_all-data_v1.dat,HD212231_harps_all-data_v1.csv
HD212291,22:23:09.1743,+09:27:39.897,G5,,8.6,,7.726,32.97,HD212291_harps_all-data_v1.dat,HD212291_harps_all-data_v1.csv
HD212301B,22:27:30.9195,-77:43:04.521,M3,5000.0,,,,,HD212301B_harps_all-data_v1.dat,HD212301B_harps_all-data_v1.csv
HD212571,22:25:16.6228,+01:22:38.634,B1III-IVe,9334.5,4.6,4.64,4.526,,HD212571_harps_all-data_v1.dat,HD212571_harps_all-data_v1.csv
HD212580,22:27:02.3919,-62:31:28.558,K1Vk:,5138.5,9.66,8.78,8.545,35.37,HD212580_harps_all-data_v1.dat,HD212580_harps_all-data_v1.csv
HD212658,22:26:13.5285,-19:11:18.339,K4.5Vk,4536.0,10.44,9.31,8.833,25.55,HD212658_harps_all-data_v1.dat,HD212658_harps_all-data_v1.csv
HD212708,22:27:24.6880,-49:21:57.402,G6IV,,8.21,7.48,7.301,37.16,HD212708_harps_all-data_v1.dat,HD212708_harps_all-data_v1.csv
HD212728,22:28:37.6704,-67:29:20.620,A3/5V,7696.0,5.757000000000001,5.564,5.504,43.93,HD212728_harps_all-data_v1.dat,HD212728_harps_all-data_v1.csv
HD212918,22:28:48.0430,-49:35:07.070,K2(V),,10.59,9.71,9.462,50.02,HD212918_harps_all-data_v1.dat,HD212918_harps_all-data_v1.csv
HD212943,22:27:51.5223,+04:41:44.391,K1-III-IV,,5.86,4.8,4.419,47.61,HD212943_harps_all-data_v1.dat,HD212943_harps_all-data_v1.csv
HD213240,22:31:00.3665,-49:25:59.767,G0/1V,5921.0,7.41,6.8,6.6579999999999995,40.92,HD213240_harps_all-data_v1.dat,HD213240_harps_all-data_v1.csv
HD213366,22:32:40.5675,-65:26:09.406,G3V,,9.73,9.04,8.892000000000001,86.46,HD213366_harps_all-data_v1.dat,HD213366_harps_all-data_v1.csv
HD2134,00:24:26.6246,-78:15:01.376,G3IV,5690.0,9.5,8.82,8.647,71.53,HD2134_harps_all-data_v1.dat,HD2134_harps_all-data_v1.csv
HD213575,22:32:34.0599,-06:28:01.836,G5V,,7.62,6.95,6.766,37.42,HD213575_harps_all-data_v1.dat,HD213575_harps_all-data_v1.csv
HD213637,22:33:12.3249,-20:02:21.883,A(pEuSrCr),6414.2,10.058,9.582,9.513,211.47,HD213637_harps_all-data_v1.dat,HD213637_harps_all-data_v1.csv
HD214094,22:36:42.6325,-43:28:15.506,F8V,,7.29,6.76,6.6160000000000005,53.24,HD214094_harps_all-data_v1.dat,HD214094_harps_all-data_v1.csv
HD21430,03:26:22.5250,-27:19:02.928,K0III,5012.1,6.867999999999999,5.933,5.665,141.5,HD21430_harps_all-data_v1.dat,HD21430_harps_all-data_v1.csv
HD214385,22:38:11.0200,-27:26:36.369,G8VFe-1.2,,8.51,7.88,7.716,36.68,HD214385_harps_all-data_v1.dat,HD214385_harps_all-data_v1.csv
HD214853,22:41:26.1290,-27:15:25.416,A4III,8133.0,7.95,7.79,7.78,209.93,HD214853_harps_all-data_v1.dat,HD214853_harps_all-data_v1.csv
HD214867,22:41:45.4738,-39:27:41.918,G3V,5750.7,9.61,8.97,8.8,59.63,HD214867_harps_all-data_v1.dat,HD214867_harps_all-data_v1.csv
HD214910,22:41:45.7503,-12:52:55.290,F6/7V,6103.6,9.99,9.51,9.351,113.34,HD214910_harps_all-data_v1.dat,HD214910_harps_all-data_v1.csv
HD214953,22:42:36.8832,-47:12:38.924,F9.5V,,6.67,6.06,5.853,23.83,HD214953_harps_all-data_v1.dat,HD214953_harps_all-data_v1.csv
HD215257,22:43:50.7183,+03:53:12.629,F5V,,7.93,,7.272,43.54,HD215257_harps_all-data_v1.dat,HD215257_harps_all-data_v1.csv
HD215497,22:46:36.7539,-56:35:58.328,K3V,4993.9,9.92,8.95,8.686,40.59,HD215497_harps_all-data_v1.dat,HD215497_harps_all-data_v1.csv
HD215625,22:46:50.2525,-20:47:26.021,G0V,6220.0,8.45,7.9,7.784,61.25,HD215625_harps_all-data_v1.dat,HD215625_harps_all-data_v1.csv
HD215641,22:47:09.3341,-32:40:31.643,G8V,,8.34,7.58,7.386,27.41,HD215641_harps_all-data_v1.dat,HD215641_harps_all-data_v1.csv
HD215789,22:48:33.2983,-51:19:00.732,A2IVn,6607.0,3.556,3.466,3.391,41.48,HD215789_harps_all-data_v1.dat,HD215789_harps_all-data_v1.csv
HD215864,22:48:46.8251,-36:53:26.440,K3V,4806.0,10.78,9.76,9.381,38.23,HD215864_harps_all-data_v1.dat,HD215864_harps_all-data_v1.csv
HD215906,22:50:05.0510,-66:03:01.690,F6/7V,6234.0,8.23,7.76,7.6160000000000005,57.97,HD215906_harps_all-data_v1.dat,HD215906_harps_all-data_v1.csv
HD2160,00:25:35.0132,-18:48:56.839,F2/3V,6454.0,9.02,8.55,8.459,223.09,HD2160_harps_all-data_v1.dat,HD2160_harps_all-data_v1.csv
HD216435,22:53:37.9322,-48:35:53.824,G0V,5928.0,6.66,6.04,5.872000000000001,33.01,HD216435_harps_all-data_v1.dat,HD216435_harps_all-data_v1.csv
HD216437,22:54:39.4829,-70:04:25.356,G1VFe+0.3,5870.0,6.71,6.05,5.882999999999999,26.71,HD216437_harps_all-data_v1.dat,HD216437_harps_all-data_v1.csv
HD216627,22:54:39.0114,-15:49:14.848,A3Vp,6750.0,3.33,3.28,3.156,34.73,HD216627_harps_all-data_v1.dat,HD216627_harps_all-data_v1.csv
HD216770,22:55:53.7082,-26:39:31.548,G9VCN+1,,8.92,8.1,7.916,36.7,HD216770_harps_all-data_v1.dat,HD216770_harps_all-data_v1.csv
HD21693,03:27:12.4819,-58:19:25.248,G9IV-V,,8.715,7.94,7.757000000000001,33.29,HD21693_harps_all-data_v1.dat,HD21693_harps_all-data_v1.csv
HD217065,22:58:06.2653,-13:38:33.158,K6Vk,,11.29,10.0,9.615,27.93,HD217065_harps_all-data_v1.dat,HD217065_harps_all-data_v1.csv
HD217343,23:00:19.2872,-26:09:13.506,G5V,5740.3,8.12,7.48,7.325,31.78,HD217343_harps_all-data_v1.dat,HD217343_harps_all-data_v1.csv
HD217395,23:00:48.1747,-39:53:41.837,G2V,5903.5,8.83,8.25,8.1,50.96,HD217395_harps_all-data_v1.dat,HD217395_harps_all-data_v1.csv
HD217522,23:01:46.8212,-44:50:26.878,ApSrSi:,6750.0,7.99,7.52,7.457000000000001,102.93,HD217522_harps_all-data_v1.dat,HD217522_harps_all-data_v1.csv
HD21759,03:29:56.3806,-19:37:13.036,G8/K1,5221.3,10.5,9.72,9.476,49.73,HD21759_harps_all-data_v1.dat,HD21759_harps_all-data_v1.csv
HD217786,23:03:08.2070,-00:25:46.677,F8V,5937.0,8.36,7.779,7.636,55.57,HD217786_harps_all-data_v1.dat,HD217786_harps_all-data_v1.csv
HD218249,23:06:32.4559,-00:11:46.120,K2V,5020.1,10.21,9.33,9.057,38.38,HD218249_harps_all-data_v1.dat,HD218249_harps_all-data_v1.csv
HD218379,23:08:36.5774,-63:52:17.702,G3V,5937.7,7.86,7.22,7.062,58.57,HD218379_harps_all-data_v1.dat,HD218379_harps_all-data_v1.csv
HD218396,23:07:28.7156,+21:08:03.302,F0+VkA5mA5,7376.7,6.21,5.952999999999999,5.898,41.29,HD218396_harps_all-data_v1.dat,HD218396_harps_all-data_v1.csv
HD218495,23:09:27.7128,-63:39:12.112,ApEuSr,8120.0,9.62,9.38,9.347999999999999,247.02,HD218495_harps_all-data_v1.dat,HD218495_harps_all-data_v1.csv
HD218504,23:08:42.9099,-18:45:07.007,G1/2wF3,6009.0,8.65,8.11,7.956,62.81,HD218504_harps_all-data_v1.dat,HD218504_harps_all-data_v1.csv
HD218544,23:09:16.6208,-40:59:28.313,G3V,5785.0,9.41,8.73,8.573,65.42,HD218544_harps_all-data_v1.dat,HD218544_harps_all-data_v1.csv
HD218566,23:09:10.7270,-02:15:38.685,K3V,,9.641,9.208,8.274,28.85,HD218566_harps_all-data_v1.dat,HD218566_harps_all-data_v1.csv
HD218642,23:10:00.9014,-39:59:57.990,K1/2(V),5414.2,10.44,9.69,9.457,83.26,HD218642_harps_all-data_v1.dat,HD218642_harps_all-data_v1.csv
HD218750,23:11:01.5286,-50:58:06.393,K1V,,10.16,9.26,9.007,49.55,HD218750_harps_all-data_v1.dat,HD218750_harps_all-data_v1.csv
HD21882,03:29:55.1472,-42:38:03.320,A5V,7789.3,5.955,5.752999999999999,5.696000000000001,67.47,HD21882_harps_all-data_v1.dat,HD21882_harps_all-data_v1.csv
HD218860,23:11:52.0535,-45:08:10.633,G8V,5550.3,9.52,8.782,8.604,48.01,HD218860_harps_all-data_v1.dat,HD218860_harps_all-data_v1.csv
HD218960,23:12:51.3535,-51:41:09.573,G2V,5738.2,9.76,9.1,8.915,96.29,HD218960_harps_all-data_v1.dat,HD218960_harps_all-data_v1.csv
HD218994,23:13:16.0382,-60:35:02.851,ApSr,5095.6,8.8,8.56,,,HD218994_harps_all-data_v1.dat,HD218994_harps_all-data_v1.csv
HD219011,23:13:22.3410,-60:26:44.464,G5V,5660.0,9.61,8.91,8.731,88.21,HD219011_harps_all-data_v1.dat,HD219011_harps_all-data_v1.csv
HD219057,23:13:09.8158,-30:26:59.297,G3V,5800.5,10.222000000000001,9.625,9.443999999999999,86.76,HD219057_harps_all-data_v1.dat,HD219057_harps_all-data_v1.csv
HD219077,23:14:06.5879,-62:42:00.012,G8V+,,6.91,6.12,5.905,29.21,HD219077_harps_all-data_v1.dat,HD219077_harps_all-data_v1.csv
HD219249,23:15:09.6813,-56:43:45.176,G7V,5551.0,8.67,7.97,7.7589999999999995,30.62,HD219249_harps_all-data_v1.dat,HD219249_harps_all-data_v1.csv
HD21938,03:30:50.3434,-37:22:20.244,G0V,5865.5,9.119,8.947000000000001,7.547000000000001,42.53,HD21938_harps_all-data_v1.dat,HD21938_harps_all-data_v1.csv
HD219449,23:15:53.4952,-09:05:15.841,K1-IIIFe-0.5,,5.36,4.25,3.863,44.08,HD219449_harps_all-data_v1.dat,HD219449_harps_all-data_v1.csv
HD219556,23:17:08.1418,-45:40:39.229,K0V,5476.5,9.8,9.04,8.892999999999999,60.51,HD219556_harps_all-data_v1.dat,HD219556_harps_all-data_v1.csv
HD219688,23:17:54.2137,-09:10:57.067,B7/8V,8604.8,4.26,4.4,4.329,92.35,HD219688_harps_all-data_v1.dat,HD219688_harps_all-data_v1.csv
HD21977,03:32:25.9071,-04:21:39.920,G2/3V,5889.0,8.81,9.095,8.017999999999999,54.15,HD21977_harps_all-data_v1.dat,HD21977_harps_all-data_v1.csv
HD219781,23:18:23.4472,+12:06:48.471,G5,5636.0,,,8.21,52.24,HD219781_harps_all-data_v1.dat,HD219781_harps_all-data_v1.csv
HD219784,23:18:49.4407,-32:31:55.288,K1III,4743.5,5.528,4.406000000000001,4.034,51.08,HD219784_harps_all-data_v1.dat,HD219784_harps_all-data_v1.csv
HD219828,23:18:46.7342,+18:38:44.615,G0IV,5831.5,8.68,8.01,7.882999999999999,73.27,HD219828_harps_all-data_v1.dat,HD219828_harps_all-data_v1.csv
HD220096,23:21:15.4990,-26:59:12.369,G5IV,5280.7,6.47,5.656000000000001,5.425,102.6,HD220096_harps_all-data_v1.dat,HD220096_harps_all-data_v1.csv
HD220308,23:22:55.0093,-24:02:05.934,K1/2V,4751.0,11.0,9.99,9.706,55.63,HD220308_harps_all-data_v1.dat,HD220308_harps_all-data_v1.csv
HD220367,23:24:18.8271,-72:09:54.702,G0V,6011.8,7.41,6.88,6.733,40.93,HD220367_harps_all-data_v1.dat,HD220367_harps_all-data_v1.csv
HD220456,23:24:03.5022,-34:18:01.012,G2V,5900.3,9.14,8.51,8.387,57.63,HD220456_harps_all-data_v1.dat,HD220456_harps_all-data_v1.csv
HD22049,03:32:55.8449,-09:27:29.731,K2V,,4.61,3.73,3.3689999999999998,3.2,HD22049_harps_all-data_v1.dat,HD22049_harps_all-data_v1.csv
HD220507,23:24:42.1153,-52:42:06.761,G5V,5678.6,8.28,7.58,7.417000000000001,43.33,HD220507_harps_all-data_v1.dat,HD220507_harps_all-data_v1.csv
HD22054,03:32:13.1879,-31:34:13.980,F0V,6669.6,8.61,8.22,8.127,224.34,HD22054_harps_all-data_v1.dat,HD22054_harps_all-data_v1.csv
HD220572,23:25:19.4650,-56:50:56.339,K0III,4773.8,6.6610000000000005,5.597,5.28,91.04,HD220572_harps_all-data_v1.dat,HD220572_harps_all-data_v1.csv
HD220657,23:25:22.7835,+23:24:14.760,F8III,6060.5,5.01,4.4,4.202,53.11,HD220657_harps_all-data_v1.dat,HD220657_harps_all-data_v1.csv
HD220689,23:25:52.9921,-20:36:57.701,G3V,5944.0,8.355,7.76,7.593999999999999,46.94,HD220689_harps_all-data_v1.dat,HD220689_harps_all-data_v1.csv
HD220729,23:26:36.5600,-52:43:17.673,F4V,6659.3,5.901,5.522,5.403,31.81,HD220729_harps_all-data_v1.dat,HD220729_harps_all-data_v1.csv
HD221146,23:29:30.3175,-01:02:09.225,G1V,5887.0,7.48,6.89,6.72,36.23,HD221146_harps_all-data_v1.dat,HD221146_harps_all-data_v1.csv
HD221287,23:31:20.3381,-58:12:35.032,F7V,6191.0,8.31,7.81,7.681,56.01,HD221287_harps_all-data_v1.dat,HD221287_harps_all-data_v1.csv
HD221503,23:32:49.3984,-16:50:44.322,K6V,,9.902999999999999,8.607000000000001,8.082,14.56,HD221503_harps_all-data_v1.dat,HD221503_harps_all-data_v1.csv
HD221550,23:33:20.58,-47:18:03.3,G3/6+G3/6,5540.7,,,,,HD221550_harps_all-data_v1.dat,HD221550_harps_all-data_v1.csv
HD221575,23:33:23.8260,-12:39:52.624,K2V,4965.3,9.71,8.78,8.538,34.01,HD221575_harps_all-data_v1.dat,HD221575_harps_all-data_v1.csv
HD221580,23:33:40.1542,-53:39:29.295,G8/K1wF,5345.3,9.86,9.21,8.975,591.3,HD221580_harps_all-data_v1.dat,HD221580_harps_all-data_v1.csv
HD221627,23:33:34.7964,+17:49:07.783,G1IV,5795.7,7.45,,6.647,48.68,HD221627_harps_all-data_v1.dat,HD221627_harps_all-data_v1.csv
HD221760,23:35:04.5708,-42:36:54.540,ApSrCrEu,7369.5,4.79,4.71,4.545,77.87,HD221760_harps_all-data_v1.dat,HD221760_harps_all-data_v1.csv
HD22177,03:32:01.8475,-52:28:25.894,G3/5V,5656.0,8.5,7.77,7.598,48.96,HD22177_harps_all-data_v1.dat,HD22177_harps_all-data_v1.csv
HD221950,23:36:23.2849,+02:06:07.992,F6V,6378.0,6.12,5.68,5.54,32.8,HD221950_harps_all-data_v1.dat,HD221950_harps_all-data_v1.csv
HD221954,23:36:44.5741,-42:21:44.290,G5/6V,5590.2,9.45,8.7,8.537,93.92,HD221954_harps_all-data_v1.dat,HD221954_harps_all-data_v1.csv
HD222095,23:37:50.9941,-45:29:32.467,A1/2V,8300.0,4.82,4.74,4.666,62.63,HD222095_harps_all-data_v1.dat,HD222095_harps_all-data_v1.csv
HD222259,23:39:39.4804,-69:11:44.705,G6V+K3Ve,5597.5,9.19,8.226,,46.2,HD222259_harps_all-data_v1.dat,HD222259_harps_all-data_v1.csv
HD22231,03:32:34.8032,-50:22:43.122,K2III,4719.0,6.77,5.6579999999999995,5.337000000000001,95.32,HD22231_harps_all-data_v1.dat,HD22231_harps_all-data_v1.csv
HD222422,23:40:37.8539,-18:59:20.020,G5V,,8.33,7.58,7.39,26.28,HD222422_harps_all-data_v1.dat,HD222422_harps_all-data_v1.csv
HD222480,23:41:08.3502,-32:04:16.526,G1V,5761.2,7.75,7.12,6.946000000000001,44.3,HD222480_harps_all-data_v1.dat,HD222480_harps_all-data_v1.csv
HD22249,03:33:03.8148,-46:43:20.291,G2V,5769.8,9.38,8.71,8.54,52.34,HD22249_harps_all-data_v1.dat,HD22249_harps_all-data_v1.csv
HD222582,23:41:51.5299,-05:59:08.731,G5V,5793.0,8.34,7.69,7.519,42.21,HD222582_harps_all-data_v1.dat,HD222582_harps_all-data_v1.csv
HD222595,23:42:12.6609,-53:25:23.947,G5V,5662.0,8.7,7.99,7.814,37.89,HD222595_harps_all-data_v1.dat,HD222595_harps_all-data_v1.csv
HD222603,23:42:02.8061,+01:46:48.148,A7V,7668.0,4.72,4.51,4.404,31.51,HD222603_harps_all-data_v1.dat,HD222603_harps_all-data_v1.csv
HD222669,23:43:57.3635,-82:30:30.604,G1V,5890.2,8.31,7.69,7.526,39.89,HD222669_harps_all-data_v1.dat,HD222669_harps_all-data_v1.csv
HD222910,23:44:54.2027,-47:20:41.025,G8IV/V,5415.4,10.0,9.24,9.057,124.25,HD222910_harps_all-data_v1.dat,HD222910_harps_all-data_v1.csv
HD223121,23:46:55.7969,-31:58:54.528,K1V,5071.0,10.33,9.32,9.11,46.1,HD223121_harps_all-data_v1.dat,HD223121_harps_all-data_v1.csv
HD223171,23:47:20.8269,-48:16:32.113,G2V,,7.54,6.88,6.718999999999999,41.4,HD223171_harps_all-data_v1.dat,HD223171_harps_all-data_v1.csv
HD223238,23:47:52.4055,+04:10:31.716,G5V,,8.33,,7.531000000000001,44.81,HD223238_harps_all-data_v1.dat,HD223238_harps_all-data_v1.csv
HD223272,23:48:15.1882,-19:04:16.865,K2/3(V),5094.5,10.59,9.6,9.385,54.83,HD223272_harps_all-data_v1.dat,HD223272_harps_all-data_v1.csv
HD223282,23:48:21.3242,-27:53:50.991,G8.5V,5554.0,9.36,8.62,8.445,36.91,HD223282_harps_all-data_v1.dat,HD223282_harps_all-data_v1.csv
HD223340,23:48:50.4948,-28:07:15.664,K1V,5292.5,10.1,9.28,8.823,44.24,HD223340_harps_all-data_v1.dat,HD223340_harps_all-data_v1.csv
HD223352,23:48:55.5465,-28:07:48.974,A0VankB9((_lB)),,4.58,4.57,,,HD223352_harps_all-data_v1.dat,HD223352_harps_all-data_v1.csv
HD223681,23:51:49.4961,-46:19:09.405,K2Vk,4999.2,10.5,9.65,9.44,46.76,HD223681_harps_all-data_v1.dat,HD223681_harps_all-data_v1.csv
HD223781,23:52:37.1053,+10:56:50.230,A4Vn,7996.5,5.47,5.3,5.24,55.96,HD223781_harps_all-data_v1.dat,HD223781_harps_all-data_v1.csv
HD223854,23:53:06.8936,+02:19:52.009,F5V,6092.5,8.53,8.07,7.901,93.3,HD223854_harps_all-data_v1.dat,HD223854_harps_all-data_v1.csv
HD223889,23:53:50.1130,-75:37:57.119,M3,,11.515,10.023,9.003,10.12,HD223889_harps_all-data_v1.dat,HD223889_harps_all-data_v1.csv
HD224047,23:54:50.0886,-47:48:28.538,K0V,5094.4,10.27,9.44,9.252,49.92,HD224047_harps_all-data_v1.dat,HD224047_harps_all-data_v1.csv
HD224063,23:54:53.0354,-00:17:09.532,G8IV(+G),5581.0,9.09,8.35,8.182,55.1,HD224063_harps_all-data_v1.dat,HD224063_harps_all-data_v1.csv
HD22409,03:35:57.6668,-11:11:37.625,K0III,4971.7,6.492000000000001,5.58,5.292999999999999,99.44,HD22409_harps_all-data_v1.dat,HD22409_harps_all-data_v1.csv
HD224230,23:56:10.2724,-72:00:07.845,K3(V),,10.91,9.94,9.66,49.63,HD224230_harps_all-data_v1.dat,HD224230_harps_all-data_v1.csv
HD224347,23:57:10.1672,-05:27:35.955,F7V,6184.5,9.0,8.48,8.365,84.18,HD224347_harps_all-data_v1.dat,HD224347_harps_all-data_v1.csv
HD224383,23:57:33.5186,-09:38:51.070,G3V,,8.51,7.88,7.727,51.37,HD224383_harps_all-data_v1.dat,HD224383_harps_all-data_v1.csv
HD224392,23:57:35.0785,-64:17:53.622,A1V,9046.0,5.046,4.989,4.958,47.08,HD224392_harps_all-data_v1.dat,HD224392_harps_all-data_v1.csv
HD224393,23:57:35.4446,-65:46:32.026,G5VFe-0.9,,8.82,8.21,8.046,41.15,HD224393_harps_all-data_v1.dat,HD224393_harps_all-data_v1.csv
HD224433,23:57:50.1398,-30:26:52.588,G8V,5546.7,9.59,8.83,8.664,53.53,HD224433_harps_all-data_v1.dat,HD224433_harps_all-data_v1.csv
HD224538,23:58:51.7634,-61:35:12.380,F8/G0IV/V,6101.5,8.65,8.06,7.922000000000001,79.24,HD224538_harps_all-data_v1.dat,HD224538_harps_all-data_v1.csv
HD224619,23:59:28.4319,-20:02:04.967,G8+V,,8.2,7.46,7.277,26.23,HD224619_harps_all-data_v1.dat,HD224619_harps_all-data_v1.csv
HD224685,23:59:55.0696,-64:22:20.322,G5V,5530.5,9.86,9.22,9.014,53.33,HD224685_harps_all-data_v1.dat,HD224685_harps_all-data_v1.csv
HD224693,23:59:53.8316,-22:25:41.215,G2V,5971.3,8.87,8.22,8.085,93.75,HD224693_harps_all-data_v1.dat,HD224693_harps_all-data_v1.csv
HD224789,00:00:40.3200,-69:40:33.476,K1V,5176.5,9.12,8.24,8.014,29.34,HD224789_harps_all-data_v1.dat,HD224789_harps_all-data_v1.csv
HD224817,00:00:58.2793,-11:49:25.464,G2V,,9.392999999999999,9.113,8.248,71.79,HD224817_harps_all-data_v1.dat,HD224817_harps_all-data_v1.csv
HD225197,00:04:19.7911,-16:31:44.536,K0III,4784.0,6.872000000000001,5.769,5.471,101.98,HD225197_harps_all-data_v1.dat,HD225197_harps_all-data_v1.csv
HD225200,00:04:20.3172,-29:16:07.763,A1V,9189.0,6.4,6.39,6.356,134.47,HD225200_harps_all-data_v1.dat,HD225200_harps_all-data_v1.csv
HD225297,00:05:02.6337,-36:00:54.429,G0V,6128.0,8.28,7.74,7.596,50.96,HD225297_harps_all-data_v1.dat,HD225297_harps_all-data_v1.csv
HD22610,03:34:45.2937,-62:27:24.601,K2V,5043.5,10.33,9.43,9.187000000000001,43.14,HD22610_harps_all-data_v1.dat,HD22610_harps_all-data_v1.csv
HD22663,03:37:05.6791,-40:16:28.740,K1III,4687.3,5.62,4.58,4.128,70.63,HD22663_harps_all-data_v1.dat,HD22663_harps_all-data_v1.csv
HD22676,03:29:58.8955,-78:21:06.661,G8III,5108.8,6.612,5.667999999999999,5.43,103.44,HD22676_harps_all-data_v1.dat,HD22676_harps_all-data_v1.csv
HD230017,18:54:53.65,+10:58:40.3,M0V+M3.5V,,,,,,HD230017_harps_all-data_v1.dat,HD230017_harps_all-data_v1.csv
HD23079,03:39:43.0960,-52:54:57.016,F9.5V,5964.2,7.68,7.11,6.962000000000001,33.49,HD23079_harps_all-data_v1.dat,HD23079_harps_all-data_v1.csv
HD23127,03:39:23.6379,-60:04:40.238,G2V,5752.0,9.26,8.55,8.42,94.11,HD23127_harps_all-data_v1.dat,HD23127_harps_all-data_v1.csv
HD231630,19:30:43.7282,+13:40:20.809,F2,5360.0,11.18,10.55,10.237,485.3,HD231630_harps_all-data_v1.dat,HD231630_harps_all-data_v1.csv
HD231701,19:32:04.1610,+16:28:27.441,F8V,6080.5,9.486,8.97,8.83,109.22,HD231701_harps_all-data_v1.dat,HD231701_harps_all-data_v1.csv
HD23207,03:42:44.5605,-18:42:49.676,ApSrEuCr,8120.0,7.79,7.54,7.542000000000001,206.22,HD23207_harps_all-data_v1.dat,HD23207_harps_all-data_v1.csv
HD23319,03:42:50.0552,-37:18:48.659,K1.5IIIbCN0.5,5000.0,5.7829999999999995,4.583,4.183,52.12,HD23319_harps_all-data_v1.dat,HD23319_harps_all-data_v1.csv
HD23356,03:43:55.3429,-19:06:39.233,K2V,,8.012,7.081,6.805,13.96,HD23356_harps_all-data_v1.dat,HD23356_harps_all-data_v1.csv
HD23456,03:43:04.7615,-50:38:35.075,F9VFe-0.8CH-0.5,,7.49,6.97,6.825,35.48,HD23456_harps_all-data_v1.dat,HD23456_harps_all-data_v1.csv
HD23472,03:41:50.3991,-62:46:01.479,K3.5V,4826.3,10.8,9.72,9.385,39.08,HD23472_harps_all-data_v1.dat,HD23472_harps_all-data_v1.csv
HD23719,03:45:15.8755,-47:21:34.107,K1III,4976.8,6.678,5.707999999999999,5.452000000000001,119.49,HD23719_harps_all-data_v1.dat,HD23719_harps_all-data_v1.csv
HD23901,03:48:37.9383,-04:25:16.674,G8V,5349.5,8.41,7.64,7.422999999999999,55.0,HD23901_harps_all-data_v1.dat,HD23901_harps_all-data_v1.csv
HD23940,03:47:56.0407,-30:10:04.380,G6III,4877.2,6.52,5.54,5.232,86.16,HD23940_harps_all-data_v1.dat,HD23940_harps_all-data_v1.csv
HD24015,03:50:00.4565,+09:16:31.616,A5,6763.5,8.94,8.56,8.477,270.99,HD24015_harps_all-data_v1.dat,HD24015_harps_all-data_v1.csv
HD24062,03:44:46.8471,-70:01:35.940,G0V,5915.0,8.04,7.41,7.272,55.12,HD24062_harps_all-data_v1.dat,HD24062_harps_all-data_v1.csv
HD240648,05:06:17.9892,+17:48:59.099,K0,5590.3,9.552,8.818,8.62,53.75,HD240648_harps_all-data_v1.dat,HD240648_harps_all-data_v1.csv
HD24085,03:45:01.5507,-70:01:26.760,G0V,6034.0,8.16,7.56,7.425,54.99,HD24085_harps_all-data_v1.dat,HD24085_harps_all-data_v1.csv
HD24112,03:48:46.8344,-40:23:57.214,F8V,6124.0,7.81,7.24,7.103,51.81,HD24112_harps_all-data_v1.dat,HD24112_harps_all-data_v1.csv
HD24160,03:49:27.2452,-36:12:00.904,G7III,5022.0,5.12,4.17,3.8369999999999997,66.49,HD24160_harps_all-data_v1.dat,HD24160_harps_all-data_v1.csv
HD24194,03:51:56.8622,+23:54:07.045,G0V,5845.0,10.61,10.07,9.922,133.56,HD24194_harps_all-data_v1.dat,HD24194_harps_all-data_v1.csv
