#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-10T00:33:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9e7c30bd62	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/531/A92&tab:{J/A+A/531/A92/table1}&key:source=J/A+A/531/A92&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/531/A92/table1
#-order=I
#-out=Seq
#-out=pmRA
#-out=pmDE
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=rmag
#-out=plx
#-out=Dist
#-out=RV
#-out=Vpar
#-out=Vper
#-out=Mass
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35310092
#Name: J/A+A/531/A92
#Title: Deep all-sky census of the Hyades (Roeser+, 2011)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_531_A92_table1:
#Name: J/A+A/531/A92/table1
#Title: Data of 724 Hyades candidates
#Column	Seq	(I3)	[1/724] Running number	[ucd=meta.id;meta.main]
#Column	pmRA	(F7.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	Bmag	(F7.3)	? Johnson B magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? Johnson V magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J magnitude (II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H magnitude (II/246)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks magnitude (II/246)	[ucd=phot.mag;em.IR.K]
#Column	rmag	(F7.3)	? SDSS r' magnitude from CMC14 (I/304)	[ucd=phot.mag;em.opt.R]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax.trig]
#Column	Dist	(F5.2)	Distance from the cluster centre	[ucd=pos.distance;pos.heliocentric]
#Column	RV	(F5.2)	Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	Tangential velocity in direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Vper	(F5.2)	Tangential velocity perpendicular to the direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Mass	(F6.2)	mass of the star (from M/L relation) (1)	[ucd=phys.mass]
#Column	M	(A1)	Details from the quoted Catalogs: PPMXL (I/317), CMC14 (I/304), ASCC-2.5 (I/280), 2MASS (II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
Seq	pmRA	pmDE	Bmag	Vmag	Jmag	Hmag	Ksmag	rmag	plx	Dist	RV	Vpar	Vper	Mass	M	Simbad	RAJ2000	DEJ2000
272	 105.56	 -18.56	  9.959	  9.091	  7.611	  7.255	  7.145	       	20.90	 2.45	38.34	24.30	 0.45	  0.96	M	Simbad	065.884713	+14.670477
273	 116.80	 -31.41	       	       	 10.693	 10.102	  9.861	 14.287	23.44	 3.84	38.25	24.44	-0.91	  0.34	M	Simbad	065.928992	+15.880924
274	 115.13	 -28.02	       	       	  9.293	  8.718	  8.454	 12.730	23.11	 3.48	38.35	24.29	-0.94	  0.59	M	Simbad	065.959829	+14.921518
275	 102.28	  -7.31	       	       	  9.117	  8.481	  8.226	 12.278	20.40	 6.86	38.64	23.82	-0.71	  0.68	M	Simbad	065.961301	+09.205415
276	 114.16	 -15.62	 12.159	 11.020	  8.506	  7.925	  7.786	 10.439	22.58	 3.06	38.42	24.17	 0.98	  0.74	M	Simbad	065.976715	+14.052112
277	  88.07	 -26.85	       	       	 12.353	 11.772	 11.494	 16.411	17.54	10.86	37.96	24.88	 0.05	  0.20	M	Simbad	065.986149	+18.638928
278	 119.83	 -44.03	       	       	 10.867	 10.253	  9.999	 14.626	23.57	 5.82	37.44	25.66	 0.85	  0.32	M	Simbad	065.989197	+22.181603
279	 109.21	 -28.19	       	       	  9.421	  8.787	  8.561	 11.977	21.80	 0.97	38.19	24.53	-0.10	  0.59	M	Simbad	065.996399	+16.721578
280	  88.01	  -7.77	       	       	 11.091	 10.522	 10.201	 14.643	17.52	11.79	38.59	23.90	 0.36	  0.39	M	Simbad	065.997941	+11.383020
281	 108.17	 -34.66	  4.981	  4.795	  4.561	  4.513	  4.414	       	21.84	 1.15	38.12	24.64	-1.04	  2.07	M	Simbad	066.023999	+17.444127
282	 111.51	 -44.97	       	 10.950	  8.627	  8.066	  7.886	 10.498	22.25	 4.59	37.47	25.62	 0.02	  0.72	M	Simbad	066.030945	+22.118870
283	 175.04	 -66.39	       	       	 10.303	  9.755	  9.472	 14.535	36.13	18.69	38.36	24.26	-3.84	  0.26	M	Simbad	066.039140	+15.087612
284	 109.88	 -21.96	  8.217	  7.583	  6.357	  6.105	  6.007	       	21.94	 1.92	38.40	24.21	-0.02	  1.20	M	Simbad	066.051938	+14.758227
285	  90.73	 -20.21	  8.818	  8.224	  7.081	  6.883	  6.797	       	18.03	 9.19	38.25	24.44	 0.51	  1.16	M	Simbad	066.053271	+16.378934
286	 118.21	 -46.30	  7.658	  7.118	  6.148	  5.946	  5.871	       	23.59	 5.58	37.54	25.51	 0.06	  1.26	M	Simbad	066.060726	+21.736245
287	 101.50	 -14.63	       	       	 11.632	 11.014	 10.778	 15.429	20.32	 4.78	38.57	23.93	-0.37	  0.25	M	Simbad	066.064105	+12.247286
288	 110.58	 -35.20	 11.031	  9.982	  8.154	  7.636	  7.524	  9.621	22.26	 1.91	38.07	24.71	-0.62	  0.82	M	Simbad	066.070582	+18.002909
289	 101.38	-103.26	       	       	 12.141	 11.554	 11.277	 16.122	22.11	17.30	33.28	30.87	-3.11	  0.17	M	Simbad	066.076812	+38.426717
290	 105.87	 -44.52	       	       	 12.029	 11.423	 11.133	 16.048	21.76	 2.17	37.93	24.93	-2.12	  0.19	M	Simbad	066.087259	+19.180762
291	  97.03	 -27.54	  7.429	  6.948	  6.059	  5.935	  5.892	       	19.49	 5.06	38.19	24.53	-0.43	  1.40	M	Simbad	066.092797	+17.078952
292	 107.60	 -26.40	       	       	 10.765	 10.184	  9.897	 14.445	21.59	 1.02	38.32	24.32	-0.31	  0.36	M	Simbad	066.117766	+15.884291
293	 110.33	 -24.51	  8.382	  7.790	  6.655	  6.397	  6.290	       	21.87	 0.99	38.22	24.48	 0.87	  1.16	M	Simbad	066.118019	+16.886167
294	 108.01	 -35.84	       	       	 11.645	 11.075	 10.776	 15.796	21.69	 2.00	37.97	24.86	-0.29	  0.23	M	Simbad	066.127445	+18.986928
295	 110.13	 -19.46	       	       	 11.901	 11.324	 11.055	 15.911	22.04	 2.55	38.49	24.05	 0.00	  0.20	M	Simbad	066.131364	+13.928620
296	  74.53	 -23.42	       	       	 11.335	 10.671	 10.447	 14.835	15.20	19.51	38.34	24.30	-1.84	  0.40	M	Simbad	066.159965	+15.909626
297	  98.01	  -2.48	  9.685	  8.934	  7.563	  7.209	  7.032	       	19.45	11.43	38.68	23.74	-2.66	  1.00	M	Simbad	066.180104	+04.699942
298	 101.16	 -19.08	       	       	 10.304	  9.656	  9.468	 13.514	20.45	 5.60	38.69	23.74	-2.37	  0.46	M	Simbad	066.183392	+10.772044
299	  97.36	 -30.78	 13.060	 11.678	  8.716	  8.065	  7.852	       	19.88	 4.08	38.36	24.27	-1.89	  0.79	M	Simbad	066.200214	+15.874706
300	 109.69	 -34.50	  6.368	  5.966	  5.168	  5.044	  4.984	       	21.97	 2.14	38.01	24.81	 0.17	  1.61	M	Simbad	066.238031	+19.042009
301	  94.60	 -25.54	 11.358	 10.366	  8.486	  7.980	  7.830	  9.919	19.02	 6.28	38.26	24.42	-0.13	  0.82	M	Simbad	066.251020	+16.984891
302	 108.76	 -34.58	       	       	  9.149	  8.481	  8.268	 12.693	22.12	 1.36	38.25	24.43	-1.01	  0.64	M	Simbad	066.306442	+17.268184
303	  97.03	 -29.58	       	       	  9.594	  8.958	  8.706	 12.005	19.42	 5.53	38.05	24.75	 0.37	  0.61	M	Simbad	066.310681	+18.973571
304	 142.53	   0.32	       	       	  8.908	  8.316	  8.061	 12.035	28.67	12.97	38.79	23.57	 0.28	  0.58	M	Simbad	066.312873	+08.048836
305	 110.80	 -28.41	       	       	 11.867	 11.296	 10.982	 15.816	22.35	 1.72	38.36	24.26	-0.24	  0.20	M	Simbad	066.318888	+16.302352
306	 141.40	   2.52	       	       	 10.422	  9.836	  9.572	 14.266	28.44	12.74	38.80	23.56	 0.66	  0.32	M	Simbad	066.320537	+08.067748
307	 106.52	 -45.46	       	       	 10.264	  9.617	  9.401	 13.465	21.37	 5.21	37.41	25.70	 0.20	  0.46	M	Simbad	066.325757	+23.060804
308	  93.90	 -38.86	       	       	  9.731	  9.106	  8.859	 12.252	18.74	 8.98	37.41	25.70	 0.51	  0.60	M	Simbad	066.333496	+23.108643
309	 105.11	 -45.07	  4.366	  4.201	  4.093	  4.064	  4.077	       	21.27	 4.64	37.55	25.49	-0.30	  2.34	M	Simbad	066.342354	+22.293872
310	 111.95	 -47.73	  5.544	  5.264	  5.086	  4.921	  4.607	       	22.66	 4.89	37.58	25.46	-0.30	  1.84	M	Simbad	066.354230	+22.199996
311	 110.88	 -29.96	       	 11.128	  8.730	  8.160	  7.977	       	22.20	 1.71	38.20	24.52	 0.50	  0.70	M	Simbad	066.354276	+17.915342
312	 107.58	 -34.54	  4.369	  4.298	  4.338	  4.381	  4.098	       	21.84	 1.26	38.20	24.51	-0.64	  2.28	M	Simbad	066.372431	+17.927905
313	 108.64	   6.20	       	       	 12.324	 11.729	 11.403	 17.299	21.87	 6.57	38.83	23.51	 1.94	  0.17	M	Simbad	066.405106	+08.591367
314	 104.07	 -27.71	  6.951	  6.439	  5.524	  5.285	  5.254	       	21.13	 1.30	38.43	24.15	-0.67	  1.50	M	Simbad	066.405486	+15.941013
315	  86.33	 -28.17	       	       	 11.010	 10.387	 10.130	 14.029	17.43	11.24	38.08	24.69	-0.05	  0.41	M	Simbad	066.424310	+19.013223
316	 102.90	 -31.36	       	       	 11.189	 10.589	 10.316	 15.348	20.90	 1.74	38.28	24.40	-0.49	  0.31	M	Simbad	066.445919	+17.544619
317	 111.22	 -35.77	  9.918	  9.055	  7.314	  6.901	  6.767	       	22.62	 2.40	38.22	24.48	-0.57	  1.02	M	Simbad	066.448161	+18.017272
318	 106.13	 -29.43	       	       	 11.629	 11.049	 10.778	 15.669	21.73	 1.50	38.54	23.98	-1.52	  0.23	M	Simbad	066.460183	+15.002542
319	 114.14	 -25.00	       	       	 11.013	 10.400	 10.111	 14.677	23.26	 4.19	38.66	23.79	-1.19	  0.30	M	Simbad	066.465237	+13.502693
320	 109.25	 -35.98	  8.219	  7.527	  6.269	  5.976	  5.893	       	22.13	 2.12	38.12	24.64	-0.20	  1.21	M	Simbad	066.465530	+18.864060
321	  95.85	   3.98	  7.870	  7.350	  6.415	  6.213	  6.110	       	19.33	11.25	38.83	23.51	-0.76	  1.31	M	Simbad	066.488910	+05.150144
322	 112.82	 -35.84	       	       	 10.887	 10.276	  9.987	 14.927	23.10	 3.08	38.35	24.28	-1.03	  0.33	M	Simbad	066.518012	+17.120716
323	 110.05	 -25.72	  8.034	  7.462	  6.456	  6.210	  6.140	       	22.31	 1.83	38.52	24.01	-0.18	  1.22	M	Simbad	066.524420	+15.524331
324	 143.47	-124.01	       	       	 11.001	 10.409	 10.118	 15.419	26.33	23.46	30.10	33.98	 3.35	  0.26	M	Simbad	066.556655	+46.995938
325	 108.80	 -46.81	  4.572	  4.282	  3.859	  3.793	  3.761	       	22.02	 4.99	37.55	25.49	 0.08	  2.28	M	Simbad	066.576932	+22.813580
326	 102.29	 -38.42	  7.897	  7.334	  6.342	  6.150	  6.073	       	20.59	 4.55	37.78	25.15	 0.45	  1.28	M	Simbad	066.577073	+21.470429
327	 114.32	 -32.19	  4.758	  4.480	  4.167	  3.954	  4.028	       	23.44	 3.79	38.53	23.99	-1.18	  2.13	M	Simbad	066.586421	+15.618268
328	  99.70	 -29.03	       	       	 11.119	 10.557	 10.253	 15.226	20.18	 3.42	38.28	24.39	 0.15	  0.33	M	Simbad	066.590443	+18.000285
329	 104.61	 -17.76	  8.691	  8.032	  6.841	  6.556	  6.436	       	20.72	 1.98	38.41	24.18	 2.21	  1.13	M	Simbad	066.602536	+16.853322
330	 110.82	 -27.39	  8.770	  8.095	  6.893	  6.643	  6.547	       	22.43	 1.80	38.45	24.12	 0.36	  1.09	M	Simbad	066.667173	+16.746900
331	 123.39	 -16.36	 11.848	 10.501	  7.824	  7.209	  7.030	  9.883	25.04	 7.08	38.79	23.56	 0.30	  0.88	M	Simbad	066.678429	+12.686579
332	 115.76	 -46.39	 12.974	 11.240	  8.724	  8.076	  7.936	 10.693	23.62	 5.32	37.86	25.03	-0.20	  0.67	M	Simbad	066.698411	+21.234921
333	 112.99	 -14.78	 10.477	  9.432	  7.528	  6.968	  6.882	  9.064	23.07	 5.46	38.89	23.40	-0.88	  0.97	M	Simbad	066.701080	+10.871073
334	 105.72	 -17.35	 11.620	 10.469	  8.432	  7.917	  7.795	 10.089	21.54	 2.91	38.78	23.58	-0.12	  0.76	M	Simbad	066.726429	+13.138174
335	 104.81	 -48.89	       	       	 11.489	 10.882	 10.574	 15.479	21.30	 6.05	37.38	25.74	 0.15	  0.26	M	Simbad	066.763132	+24.104385
336	 104.00	 -26.00	       	       	 12.498	 11.851	 11.710	       	21.18	 0.96	38.53	24.00	 0.11	  0.15	M	Simbad	066.777014	+16.429887
337	 108.96	 -35.03	       	       	  9.714	  9.067	  8.826	 12.513	22.49	 1.92	38.46	24.11	-0.94	  0.53	M	Simbad	066.819331	+17.241851
338	 107.52	 -18.36	       	       	 11.401	 10.782	 10.529	 15.352	21.90	 2.19	38.76	23.61	 0.41	  0.26	M	Simbad	066.850393	+14.118656
339	 103.78	 -21.93	 11.315	 10.313	  8.374	  7.822	  7.713	  9.938	21.28	 2.11	38.75	23.63	-0.42	  0.79	M	Simbad	066.855592	+14.260673
340	 102.94	 -24.47	  7.957	  7.396	  6.375	  6.174	  6.141	       	21.09	 1.43	38.66	23.79	-0.13	  1.25	M	Simbad	066.899541	+15.589190
341	  81.80	 -26.80	       	       	 11.045	 10.453	 10.186	       	16.65	13.94	38.21	24.50	 0.36	  0.41	M	Simbad	066.902043	+19.445907
342	  89.01	 -17.45	       	       	 11.398	 10.730	 10.484	 15.079	17.98	 9.28	38.60	23.88	 1.26	  0.33	M	Simbad	066.919774	+16.248711
343	 112.19	-136.80	 10.546	  9.575	  7.892	  7.434	  7.331	  9.306	24.72	23.32	30.23	33.86	-2.24	  0.81	M	Simbad	066.923832	+46.927630
344	 110.39	 -11.09	  8.066	  7.482	  6.424	  6.222	  6.158	       	22.56	 4.42	38.95	23.31	 0.45	  1.21	M	Simbad	066.941979	+11.736422
345	 102.21	 -19.95	 10.400	  9.472	  7.894	  7.456	  7.348	  9.149	20.93	 2.38	38.78	23.59	 0.07	  0.90	M	Simbad	066.945984	+14.417748
346	  84.37	 -29.67	 12.063	 11.358	  9.045	  8.480	  8.354	 10.827	17.40	11.34	38.29	24.37	-0.38	  0.74	M	Simbad	066.986522	+19.060795
347	 102.82	 -32.90	 11.150	 10.129	  8.152	  7.655	  7.533	  9.731	21.11	 1.80	38.37	24.24	-0.04	  0.84	M	Simbad	066.995682	+18.500247
348	  89.05	 -30.25	       	       	 10.053	  9.467	  9.219	 13.592	18.35	 8.37	38.34	24.30	-0.31	  0.54	M	Simbad	066.996725	+18.759082
349	  97.93	 -41.72	  6.003	  5.703	  5.163	  5.103	  5.055	       	20.22	 5.15	37.92	24.95	-0.38	  1.77	M	Simbad	067.003263	+21.619904
350	 106.89	 -34.99	       	       	 12.249	 11.678	 11.359	 16.651	20.56	 6.77	37.42	25.69	 3.55	  0.18	M	Simbad	067.015537	+24.402136
351	 106.72	 -17.78	  9.860	  9.032	  7.506	  7.142	  7.003	       	21.85	 2.36	38.85	23.47	 0.37	  0.97	M	Simbad	067.018484	+13.867941
352	 114.25	 -28.05	 12.007	 10.720	  8.560	  7.994	  7.758	 10.555	23.40	 3.59	38.63	23.84	 0.32	  0.72	M	Simbad	067.045287	+16.470932
353	  97.31	 -23.15	       	       	 11.670	 11.050	 10.789	 15.693	20.22	 3.94	38.88	23.42	-1.24	  0.25	M	Simbad	067.093437	+13.822730
354	 109.50	 -20.49	  6.242	  5.899	  5.209	  5.114	  5.027	       	22.43	 2.35	38.81	23.54	 0.51	  1.62	M	Simbad	067.097511	+14.740976
355	 100.70	 -39.48	       	       	  8.592	  7.956	  7.711	 11.595	21.28	 1.05	38.52	24.01	-2.06	  0.79	M	Simbad	067.119908	+17.695942
356	 104.96	 -15.14	  4.802	  3.836	  2.142	  1.754	  1.644	       	21.12	 1.18	38.72	23.69	 2.33	  2.50	M	Simbad	067.143733	+15.962181
357	 106.34	 -37.67	  4.547	  3.529	  1.748	  1.314	  1.422	       	22.01	 2.17	38.34	24.29	-0.30	  2.60	M	Simbad	067.154162	+19.180429
358	  98.34	 -41.83	  9.359	  8.614	  7.292	  6.996	  6.908	       	20.71	 3.16	38.26	24.41	-1.46	  1.03	M	Simbad	067.155056	+19.740681
359	 108.41	 -26.74	  3.613	  3.398	  2.994	  2.997	  2.880	       	22.37	 1.77	38.73	23.66	-0.07	  2.60	M	Simbad	067.165586	+15.870882
360	 106.51	 -30.62	  8.466	  7.822	  6.696	  6.462	  6.404	       	22.00	 0.99	38.60	23.88	-0.04	  1.15	M	Simbad	067.201238	+17.285463
361	 105.58	 -15.00	  5.255	  5.011	  4.793	  4.656	  4.534	       	21.74	 2.97	38.98	23.25	 0.42	  1.98	M	Simbad	067.209018	+13.047603
362	 100.35	 -24.27	       	 10.740	  8.114	  7.555	  7.349	 10.279	20.65	 2.13	38.71	23.70	 0.32	  0.91	M	Simbad	067.211736	+16.289006
363	 105.99	 -21.13	  7.131	  6.579	  5.527	  5.305	  5.220	       	21.63	 0.47	38.74	23.66	 1.21	  1.44	M	Simbad	067.249055	+16.159095
364	 107.81	 -26.19	       	       	 10.266	  9.625	  9.374	 13.636	22.20	 1.33	38.72	23.69	 0.35	  0.45	M	Simbad	067.250637	+16.346330
365	 101.73	 -43.27	       	       	  9.571	  8.947	  8.690	 12.660	21.64	 1.60	38.45	24.12	-2.08	  0.58	M	Simbad	067.254221	+18.673707
366	  75.99	  -8.91	       	       	 12.004	 11.415	 11.119	 16.175	15.77	18.50	39.16	22.94	-1.62	  0.28	M	Simbad	067.273800	+09.182456
367	 100.50	 -62.43	       	       	  9.680	  9.038	  8.827	 12.362	21.46	 7.73	37.14	26.09	-1.46	  0.56	M	Simbad	067.295795	+26.246756
368	 100.08	 -32.93	       	       	  9.308	  8.706	  8.486	 11.769	21.17	 1.48	38.84	23.48	-2.22	  0.62	M	Simbad	067.301463	+15.273896
369	  98.81	 -14.50	       	       	 10.537	  9.924	  9.677	 14.099	20.48	 4.39	39.06	23.11	-0.13	  0.42	M	Simbad	067.317633	+12.360344
370	 105.47	 -31.21	  7.527	  7.003	  6.027	  5.774	  5.724	       	21.86	 0.91	38.62	23.85	-0.02	  1.33	M	Simbad	067.335640	+17.544936
371	 106.04	 -32.81	  7.373	  6.894	  6.045	  5.887	  5.809	       	22.03	 1.33	38.60	23.89	-0.10	  1.35	M	Simbad	067.376461	+17.863163
372	  80.96	 -48.31	  9.985	  9.182	  7.844	  7.534	  7.462	       	17.06	15.25	37.07	26.18	-0.72	  1.00	M	Simbad	067.378186	+26.671549
373	 101.20	 -21.64	       	 10.629	  8.224	  7.689	  7.515	  9.931	20.78	 1.85	38.78	23.59	 0.97	  0.86	M	Simbad	067.379114	+16.244779
374	 108.25	 -32.11	  9.779	  8.945	  7.524	  7.149	  7.055	       	22.41	 1.95	38.59	23.89	 0.20	  0.94	M	Simbad	067.381695	+17.893185
375	  95.64	 -64.22	       	       	 11.564	 10.941	 10.648	 15.540	20.82	 8.29	37.10	26.14	-2.16	  0.26	M	Simbad	067.400999	+26.573193
376	 110.95	 -48.27	       	       	 10.227	  9.635	  9.413	 13.644	23.19	 5.03	38.06	24.73	-0.38	  0.42	M	Simbad	067.405820	+21.668642
377	  84.36	 -34.16	       	       	  9.096	  8.496	  8.368	 10.823	17.21	13.03	37.85	25.05	 1.00	  0.74	M	Simbad	067.412476	+22.882726
378	 111.32	 -30.57	       	       	  9.524	  8.901	  8.653	 12.195	23.15	 3.15	38.75	23.64	 0.08	  0.56	M	Simbad	067.482249	+16.914046
379	 105.41	 -28.88	 10.051	  9.069	  7.619	  7.211	  7.139	       	21.96	 0.86	38.78	23.59	-0.06	  0.93	M	Simbad	067.490530	+16.672839
380	 119.44	 -57.71	       	       	 12.562	 11.992	 11.648	 17.439	25.28	 7.99	37.97	24.86	-0.90	  0.13	M	Simbad	067.502109	+22.375125
381	  64.42	 -10.68	 13.327	 11.571	  9.454	  8.861	  8.716	 11.203	13.51	28.32	39.21	22.87	-1.48	  0.79	M	Simbad	067.513645	+10.939265
382	 107.34	 -24.56	  5.952	  5.626	  4.853	  5.031	  4.690	       	22.32	 1.78	38.90	23.39	 0.27	  1.72	M	Simbad	067.535824	+15.637839
383	  84.50	 -57.96	       	       	 11.803	 11.156	 10.913	 15.921	18.61	11.22	37.21	25.99	-2.44	  0.26	M	Simbad	067.570999	+26.373978
384	  95.01	 -28.13	  7.583	  7.087	  6.105	  5.890	  5.843	       	19.38	 5.92	38.41	24.19	 1.53	  1.37	M	Simbad	067.574882	+19.840576
385	  85.31	 -22.04	       	       	 10.362	  9.795	  9.492	 14.013	17.63	10.42	38.72	23.68	 0.86	  0.51	M	Simbad	067.599833	+17.499733
386	 104.55	 -25.90	  4.975	  4.764	  4.773	  4.677	  4.364	       	21.81	 0.75	38.88	23.41	 0.25	  2.08	M	Simbad	067.640136	+16.194012
387	  96.47	 -24.02	       	       	 10.563	  9.954	  9.712	 14.130	20.31	 3.35	39.02	23.19	-0.74	  0.42	M	Simbad	067.641135	+14.748099
388	  97.38	 -22.18	  9.720	  8.866	  7.336	  6.902	  6.817	       	20.29	 3.11	38.93	23.34	 0.39	  1.08	M	Simbad	067.645324	+15.733981
389	 107.24	 -18.96	  5.682	  5.392	  5.221	  4.834	  4.748	       	22.41	 2.94	39.11	23.04	 0.18	  1.80	M	Simbad	067.655679	+13.724404
390	  93.72	 -45.66	       	       	  9.248	  8.579	  8.378	 12.379	19.83	 6.66	37.94	24.92	-0.59	  0.66	M	Simbad	067.659145	+22.908023
391	 104.00	 -24.86	  5.739	  5.454	  5.458	  4.967	  4.903	       	21.74	 0.99	38.94	23.32	 0.11	  1.80	M	Simbad	067.662040	+15.691877
392	 122.63	 -27.94	       	       	 11.932	 11.355	 11.026	 16.359	25.75	 7.67	39.04	23.15	-0.32	  0.17	M	Simbad	067.677511	+14.661524
393	  83.09	 -39.01	       	       	 10.624	 10.013	  9.787	 14.188	17.53	11.98	38.00	24.83	-0.39	  0.46	M	Simbad	067.687522	+22.630087
394	  97.68	 -22.66	  6.940	  6.491	  5.627	  5.448	  5.383	       	20.33	 2.93	38.91	23.37	 0.58	  1.51	M	Simbad	067.694983	+16.148696
395	 128.73	  36.54	       	       	 11.403	 10.830	 10.527	 15.706	27.10	15.97	38.89	23.41	 0.37	  0.20	M	Simbad	067.717019	-01.213057
396	 106.92	 -54.74	       	       	 11.588	 10.973	 10.676	 15.611	22.39	 6.67	37.59	25.44	 0.08	  0.23	M	Simbad	067.732371	+24.838174
397	 103.14	  -9.57	  7.517	  7.029	  6.139	  5.944	  5.893	       	21.63	 4.84	39.30	22.70	 0.06	  1.33	M	Simbad	067.738215	+10.751770
398	 113.54	 -17.82	       	       	  9.945	  9.374	  9.085	 13.428	23.86	 5.59	39.23	22.83	-0.32	  0.47	M	Simbad	067.738881	+12.303791
399	  90.60	 -19.00	       	       	 10.895	 10.281	 10.037	       	18.76	 6.99	38.92	23.35	 1.27	  0.39	M	Simbad	067.795856	+16.395862
400	 101.82	  -6.32	       	       	 12.201	 11.610	 11.305	 16.532	21.13	 3.65	39.24	22.80	 1.95	  0.18	M	Simbad	067.802656	+12.477365
401	  98.71	 -44.81	  9.324	  8.590	  7.259	  6.965	  6.884	       	21.27	 2.92	38.45	24.11	-1.54	  1.02	M	Simbad	067.815373	+20.133156
402	 106.16	  -8.95	       	       	 10.535	  9.944	  9.676	 14.493	22.30	 5.03	39.33	22.65	 0.23	  0.39	M	Simbad	067.815702	+10.704280
403	 105.34	  -7.46	       	       	 11.298	 10.704	 10.401	 14.758	21.94	 3.74	39.27	22.77	 1.56	  0.28	M	Simbad	067.817003	+12.200146
404	 120.10	 -10.44	       	       	 11.643	 11.017	 10.772	 15.953	25.23	 7.98	39.33	22.65	 0.33	  0.19	M	Simbad	067.831508	+10.923774
405	  91.34	 -20.14	  8.323	  7.765	  6.733	  6.572	  6.455	       	19.34	 5.93	39.18	22.92	-0.62	  1.22	M	Simbad	067.872278	+13.903468
406	 106.02	 -30.18	 10.515	  9.517	  7.726	  7.293	  7.170	  9.239	22.20	 1.63	38.81	23.53	 0.51	  0.91	M	Simbad	067.904595	+17.709779
407	  90.06	 -29.16	       	       	 12.654	 12.058	 11.762	 16.938	18.41	 8.91	38.34	24.30	 1.89	  0.17	M	Simbad	067.931784	+21.154617
408	 106.35	 -32.45	  6.363	  5.997	  5.306	  5.227	  5.146	       	22.74	 2.54	39.04	23.15	-1.13	  1.58	M	Simbad	067.965656	+15.851559
409	  97.84	 -24.71	 12.300	 11.020	  8.667	  8.034	  7.895	 10.502	20.72	 2.29	39.08	23.09	-0.23	  0.76	M	Simbad	067.968616	+15.499481
410	 113.43	   8.55	  6.805	  6.359	  5.593	  5.385	  5.333	       	24.01	 9.86	39.44	22.46	 0.19	  1.44	M	Simbad	068.020036	+05.410041
411	 101.70	 -36.38	       	       	 10.898	 10.288	  9.986	 14.699	21.82	 1.16	38.87	23.44	-1.04	  0.35	M	Simbad	068.033184	+17.664483
412	 107.94	 -38.28	       	       	 10.753	 10.161	  9.913	 13.993	23.17	 3.35	38.88	23.42	-0.90	  0.34	M	Simbad	068.098987	+17.750739
413	 104.35	 -19.28	 12.189	 11.000	  8.423	  7.791	  7.654	 10.578	22.19	 3.23	39.32	22.67	-0.31	  0.78	M	Simbad	068.106892	+13.113231
414	  69.16	 -16.94	       	       	 11.211	 10.644	 10.375	 14.938	14.37	23.31	38.87	23.44	 1.57	  0.44	M	Simbad	068.120755	+17.904630
415	  79.98	 -32.69	       	       	 11.762	 11.192	 10.890	 16.256	17.01	13.02	38.47	24.08	-0.12	  0.29	M	Simbad	068.122639	+20.735521
416	 114.90	 -46.10	       	       	 10.794	 10.177	  9.979	       	24.78	 6.28	38.73	23.66	-1.01	  0.30	M	Simbad	068.157729	+19.046707
417	  93.58	 -36.66	 11.508	 10.477	  8.569	  8.032	  7.898	 10.127	20.12	 4.02	38.73	23.67	-0.77	  0.78	M	Simbad	068.170608	+19.113482
