#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
 	NGC 2849         	09 19 23	-40 31 24	  	   3.5	 6170	 0.320	 9.000	  -5.61	   6.93	   70	K14	       	   	      	  	2-1-m-* 	WEBDA	Lynga
 	ESO 314 14       	09 19 41	-38 07 00	  	  10.0	 1870	 0.750	 8.650	  -6.02	   5.58	  174	K14	       	   	      	  	        	WEBDA	Lynga
P	Pismis 12        	09 20 00	-45 07 00	  	   5.0	 1714	 0.270	 9.400	  -4.40	   1.65	   98	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Ruprecht 159     	09 20 18	-60 24 00	nf	   2.0	 6347	 0.271	 9.200	  -3.56	   9.43	   93	K14	       	   	      	  	2-3-p-* 	WEBDA	Lynga
 	Teutsch 48       	09 20 31	-52 50 24	  	   5.0	 7900	 1.060	 8.700	  -0.74	   6.32	  111	K14	       	   	      	  	        	WEBDA	Lynga
 	BH 63            	09 20 39	-49 13 23	  	   2.5	 2300	 1.900	 8.840	  -5.56	   4.19	   15	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	Ruprecht 74      	09 21 03	-37 07 00	d 	   2.0	 3074	 0.812	 8.900	  -5.43	   3.25	   22	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Ruprecht 75      	09 21 55	-56 19 00	  	   2.0	 4300	 0.240	 9.150	  -9.65	   5.46	   34	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
P	NGC 2866         	09 22 07	-51 06 00	  	   2.0	 2600	 0.660	 8.300	  -8.28	   5.20	   10	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 114      	09 22 20	-48 03 59	IR	   4.0	     	      	      	  12.94	   6.41	    3	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1471         	09 24 04	-47 20 56	IR	  11.0	 2700	 1.220	 9.000	   1.15	   7.45	    9	K14	       	   	      	  	        	WEBDA	Lynga
P	Ruprecht 76      	09 24 13	-51 40 00	  	   5.0	 1262	 0.376	 7.734	  -1.59	   5.32	  105	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 261 07       	09 24 21	-44 42 18	  	  33.0	 3360	 1.145	 9.000	  -2.84	   2.23	  628	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	BH 66            	09 25 18	-54 43 00	  	   4.0	 7000	 0.400	 8.900	  -0.82	  -0.10	  102	K14	       	   	      	  	        	WEBDA	Lynga
 	Miller 1         	09 25 42	-53 14 00	  	   1.0	 3910	 0.380	 9.300	   1.19	  -1.89	   27	K14	       	   	      	  	2-2-vp-*	WEBDA	Lynga
 	BH 67            	09 26 45	-51 16 00	  	   4.0	 7500	 0.950	 9.110	  -6.38	   3.86	   64	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	Ruprecht 77      	09 27 04	-55 07 00	  	   5.0	 4129	 0.622	 7.501	   1.12	  -0.89	  142	K14	       	   	      	  	        	WEBDA	Lynga
P	IC 2488          	09 27 38	-57 00 00	  	  18.0	 1134	 0.231	 8.113	  -3.11	   4.55	  799	K14	  -1.84	  3	 0.100	  	        	WEBDA	Lynga
 	ASCC 52          	09 27 58	-54 15 36	  	  32.4	 1500	 0.040	 8.750	  -1.35	   0.12	 2397	K14	  14.10	  1	      	  	        	WEBDA	Lynga
 	Teutsch 103      	09 28 36	-46 36 00	  	   3.0	 2790	 0.620	 8.750	  -4.74	   2.19	   37	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 78      	09 29 10	-53 42 00	  	   3.0	 1641	 0.350	 7.987	  -2.14	  -1.32	   78	K14	       	   	      	  	        	WEBDA	Lynga
 	Pismis 14        	09 29 51	-52 47 00	  	   1.5	 1314	 0.560	 7.350	  -3.69	   4.79	   25	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
P	NGC 2910         	09 30 30	-52 55 06	  	   4.0	 2607	 0.336	 8.203	  -3.56	   3.11	  112	K14	       	   	      	  	        	WEBDA	Lynga
 	Basel 20         	09 31 08	-56 25 00	  	  10.0	 2024	 0.406	 7.419	  -2.94	   2.95	  154	K14	       	   	      	  	        	WEBDA	Lynga
 	BH 72            	09 31 24	-53 03 00	  	   2.0	 3190	 0.480	 9.100	  -2.75	   9.98	   55	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	BH 73            	09 31 56	-50 13 00	  	   1.5	 5557	 0.670	 9.100	  -3.04	   3.71	   27	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
P	NGC 2925         	09 33 11	-53 23 54	  	  10.0	  774	 0.080	 7.850	  -8.94	   5.30	   32	K14	  12.20	  3	      	  	        	WEBDA	Lynga
 	Teutsch 66       	09 33 30	-52 22 51	  	   3.6	 5510	 1.150	 8.300	  -7.22	   3.63	   57	K14	       	   	      	  	        	WEBDA	Lynga
 	Turner 5         	09 33 51	-36 36 54	  	 180.0	  400	 0.100	 8.490	   0.00	  -3.73	   42	K14	  26.20	  1	-0.210	 3	        	WEBDA	Lynga
 	Pismis 15        	09 34 45	-48 02 00	  	   3.6	 2900	 0.530	 9.110	  -4.67	   4.90	   82	K14	       	   	-0.380	  	2-1-p-* 	WEBDA	Lynga
 	BH 75            	09 34 48	-54 42 00	  	   3.0	 2500	 0.540	 8.250	  -1.37	   1.83	   48	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	ESO 315 14       	09 35 25	-39 32 00	  	   3.0	 1789	 0.620	 7.850	   1.05	  -3.47	   16	K14	       	   	      	  	2-3-vp-*	WEBDA	Lynga
 	FSR 1500         	09 37 53	-53 57 44	IR	   2.7	 1380	 0.562	 8.580	  -0.28	   3.43	   46	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 53          	09 37 55	-59 33 00	  	  37.2	 2500	 0.150	 8.120	  -2.48	   3.10	 3049	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 108          	09 38 53	-52 57 28	  	   6.0	 2910	 0.660	 8.500	  -0.18	   0.14	  132	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2972         	09 40 12	-50 19 24	  	   3.0	 2062	 0.343	 7.968	  -3.64	   5.31	   81	K14	  20.89	  3	-0.073	 3	        	WEBDA	Lynga
 	Hogg 1           	09 40 33	-50 35 00	d 	   6.0	 1594	 0.583	 8.635	  -6.13	   3.57	  122	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
P	Ruprecht 79      	09 40 59	-53 51 00	  	   5.0	 1979	 0.717	 7.093	  -3.66	  -0.68	  187	K14	  21.40	   	      	  	        	WEBDA	Lynga
 	NGC 2982         	09 42 01	-44 01 12	n 	   5.0	 2624	 0.400	 8.300	  -9.11	   5.57	   71	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 80      	09 42 03	-44 01 00	  	  12.0	 2500	 0.300	 8.330	  -8.79	   4.61	  292	K14	  45.75	  1	-0.373	 1	3-1-p-* 	WEBDA	Lynga
 	FSR 1496         	09 43 02	-52 07 28	IR	   1.5	 2290	 0.625	 9.350	  -4.21	   3.65	   34	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1496         	09 43 02	-52 07 28	IR	   1.5	 2290	 0.625	 9.350	  -4.21	   3.65	   34	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 109          	09 43 34	-50 47 33	  	   5.0	 7690	 0.230	 9.200	  -6.79	   3.33	   92	K14	       	   	      	  	        	WEBDA	Lynga
 	BH 78            	09 43 42	-56 33 00	  	   1.5	 4602	 1.000	 8.600	   0.13	   1.30	   21	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	ASCC 54          	09 44 46	-54 26 24	  	  26.4	 1200	 0.050	 8.840	  -7.73	   1.08	   21	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 81      	09 45 12	-44 06 00	d 	   5.0	 3009	 0.645	 8.980	  -8.12	   4.37	   63	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Ruprecht 82      	09 45 46	-54 00 00	  	   5.0	 2455	 0.290	 8.500	  -4.97	   0.39	  124	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1509         	09 48 01	-55 04 01	IR	   2.0	 2080	 1.170	 8.750	  -9.71	   2.42	  105	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 3033         	09 48 37	-56 25 18	  	   4.0	  922	 0.327	 7.845	  -1.61	   0.51	  107	K14	  27.15	  1	      	  	        	WEBDA	Lynga
 	Ruprecht 84      	09 49 08	-65 15 00	  	   4.0	 1800	 0.100	 8.560	  -6.48	   2.32	   80	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Ruprecht 83      	09 49 15	-54 36 00	  	   3.0	 2459	 0.453	 8.450	  -5.10	  -1.40	   87	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 3036         	09 49 16	-62 40 18	  	   4.0	 1200	 0.400	 8.610	  -4.47	   2.09	   76	K14	  11.78	  1	-0.714	 1	3-2-p-* 	WEBDA	Lynga
P	Pismis 16        	09 51 16	-53 10 00	  	   2.0	 1824	 0.557	 7.839	  -6.55	   1.70	    6	K14	  21.00	  2	      	  	        	WEBDA	Lynga
 	Hogg 2           	09 51 32	-56 19 00	nf	   6.0	 1819	 0.625	 8.200	  -2.76	   0.40	  131	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	ASCC 55          	09 54 18	-57 04 48	  	  27.6	 1100	 0.190	 8.450	  -3.21	   1.03	 1424	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 213    	09 54 43	-50 55 00	  	  17.0	 1400	 0.070	 8.840	  -3.66	   2.48	  763	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	ESO 435 09       	09 55 33	-28 59 12	  	  14.0	 2255	 0.729	 8.425	  -5.16	   1.41	  101	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 160     	09 56 22	-47 02 00	  	   2.0	 2187	 0.625	 8.620	  -0.86	   3.30	   38	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	ESO 435 17       	09 58 45	-30 54 36	d 	   4.0	 3603	 0.052	 9.285	  -5.11	   1.10	   21	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1518         	09 59 29	-54 31 04	IR	   2.7	 1819	 0.625	 7.600	  -4.09	   2.38	   78	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 3105         	10 00 39	-54 47 18	  	   2.0	 8530	 0.950	 7.300	  -4.64	  -2.02	   51	K14	       	   	      	  	        	WEBDA	Lynga
 	BH 84            	10 01 19	-58 13 00	  	   4.0	 3370	 0.630	 8.750	  -6.30	   4.08	   71	K14	       	   	      	  	1-2-p-* 	WEBDA	Lynga
 	Ruprecht 85      	10 01 26	-55 07 00	  	   3.0	 1400	 0.210	 8.700	  -6.75	  -0.84	   91	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	Ruprecht 86      	10 01 36	-59 28 00	nf	  12.0	 7173	 0.999	 8.800	  -0.90	   4.19	  517	K14	       	   	      	  	3-2-m-* 	WEBDA	Lynga
 	BH 85            	10 01 52	-49 34 00	  	   3.0	 1501	 0.230	 8.850	  -4.20	   7.57	   56	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
P	NGC 3114         	10 02 36	-60 07 12	  	  35.0	  911	 0.069	 8.093	  -2.22	   2.47	 4053	K14	  -1.72	  7	 0.020	 3	        	WEBDA	Lynga
 	Loden 28         	10 03 12	-58 09 00	d 	  20.0	 3950	 0.620	 7.300	  -5.75	   2.76	 1013	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	ESO 092 05       	10 03 14	-64 45 12	d 	   5.0	 5168	 0.104	 9.300	  -6.56	   3.79	   80	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 435 33       	10 03 54	-32 03 12	  	   3.0	 2860	 1.040	 8.150	  -5.17	  -0.50	   16	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	BH 87            	10 04 18	-55 26 00	  	   3.0	 1203	 0.380	 8.400	  -7.74	   0.30	   45	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	Schuster 1       	10 04 39	-55 51 29	  	   1.3	 5212	 2.520	 8.350	  -9.38	  -0.31	    9	K14	       	   	      	  	        	WEBDA	Lynga
P	Trumpler 11      	10 04 54	-61 36 00	  	   5.0	 3100	 0.210	      	  -3.03	   0.09	  149	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 1          	10 05 03	-55 48 00	d 	  21.0	  360	 0.100	 9.290	  -8.30	   1.04	  559	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Hogg 5           	10 06 21	-60 23 00	  	   3.0	 2622	 0.560	 8.200	  -4.60	   2.03	   96	K14	       	   	      	  	1-3-r-* 	WEBDA	Lynga
P	Trumpler 12      	10 06 29	-60 18 00	  	   4.0	 1300	 0.050	 8.810	  -3.82	   1.75	  161	K14	       	   	      	  	2-3-p-* 	WEBDA	Lynga
 	BH 88            	10 06 30	-51 34 00	  	   4.0	 1770	 0.600	 8.100	  -4.82	   3.94	   85	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Hogg 6           	10 06 37	-60 30 00	nf	   3.0	 1600	 0.050	 8.610	  -3.04	   0.74	  101	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1535         	10 07 55	-59 11 49	IR	   2.2	 1602	 0.396	 8.865	  -7.45	   6.66	   90	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 56          	10 08 13	-64 22 12	  	  42.0	  800	 0.110	 8.080	  -7.29	   4.15	 4022	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 161     	10 08 46	-61 15 00	d 	  32.0	  940	 0.090	 8.390	  -3.54	   1.62	 3558	K14	   9.40	  1	      	  	3-2-p-* 	WEBDA	Lynga
 	ESO 435 48       	10 09 35	-28 21 30	d 	   4.0	 1819	 0.625	 8.700	  -8.10	   2.93	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 57          	10 10 48	-66 40 48	  	  45.6	 1500	 0.130	 8.700	  -7.85	   3.71	 3620	K14	   2.46	  6	-0.296	 3	        	WEBDA	Lynga
 	Loden 27         	10 11 06	-56 36 00	d 	   3.5	 2628	 0.937	 6.600	  -2.30	 -12.25	   15	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	BH 90            	10 12 10	-58 04 00	  	   4.0	 2572	 0.526	 7.943	  -0.22	   2.86	  102	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 436 02       	10 14 03	-29 11 24	  	   5.0	 2150	 0.830	 8.250	 -20.48	  -1.44	   14	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	ESO 092 18       	10 14 58	-64 36 42	  	   5.0	10607	 0.500	 9.024	  -5.41	   3.93	  143	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 58          	10 15 07	-54 58 12	  	  48.0	  600	 0.090	 7.040	 -12.89	   3.15	   24	K14	   8.00	  1	      	  	        	WEBDA	Lynga
 	Ruprecht 87      	10 15 32	-50 43 00	  	   4.0	 5254	 0.458	 8.985	  -5.91	   1.23	  129	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	BH 91            	10 17 18	-58 42 00	  	   5.0	  740	 0.080	 8.210	  -3.28	   2.13	  172	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	Ruprecht 88      	10 18 55	-63 08 00	  	   5.0	 1876	 0.416	 8.980	  -5.74	   2.06	  107	K14	       	   	      	  	3-2-m-* 	WEBDA	Lynga
 	BH 92            	10 19 07	-56 25 00	  	   2.0	 1249	 0.200	      	  -3.16	   5.28	    5	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	ASCC 59          	10 20 13	-57 39 00	  	  42.0	  550	 0.050	 8.600	  -4.99	   3.65	   30	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 3228         	10 21 22	-51 43 42	  	   5.0	  544	 0.028	 7.932	 -15.64	  -0.05	    4	K14	 -22.39	  1	 0.030	  	        	WEBDA	Lynga
 	Teutsch 44       	10 21 24	-54 27 02	  	   4.0	 7410	 0.640	 8.840	  -3.15	  -0.58	  107	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 062 08       	10 21 39	-69 20 06	  	   5.0	 1983	 0.042	 9.440	  -6.77	   2.39	   70	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 113          	10 22 44	-59 30 20	  	   2.0	 2025	 0.833	 8.960	  -5.74	   1.85	   78	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 46         	10 23 00	-54 48 00	nf	  38.0	  540	 0.140	 9.030	  -5.60	  -0.70	 3839	K14	       	   	      	  	        	WEBDA	Lynga
 	Trumpler 13      	10 23 48	-60 08 00	  	   5.0	 2400	 0.300	 8.500	  -5.62	   0.88	  235	K14	 -10.80	  1	      	  	2-2-m-* 	WEBDA	Lynga
P	Westerlund 2     	10 24 02	-57 46 00	  	   2.0	 2850	 1.650	 6.300	  -6.77	   4.84	   51	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 220    	10 25 52	-57 55 36	  	   9.5	 1547	 0.221	 8.083	  -3.57	   1.89	  371	K14	 -13.00	  1	      	  	        	WEBDA	Lynga
P	NGC 3255         	10 26 31	-60 40 36	  	   2.0	 1445	 0.250	 8.300	  -4.40	  -2.08	   52	K14	       	   	      	  	        	WEBDA	Lynga
P	IC 2581          	10 27 29	-57 37 00	  	   5.0	 2446	 0.415	 7.142	  -5.61	   1.75	  150	K14	  -0.52	  2	-0.340	  	        	WEBDA	Lynga
 	NGC 3231         	10 27 29	+66 47 54	  	   7.0	  715	 0.020	 9.150	  -3.86	  -0.21	   14	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 89      	10 28 26	-58 11 00	nf	   4.0	  750	 0.040	 8.980	  -4.12	   1.30	  104	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Loden 172        	10 28 27	-60 40 00	nf	  14.0	 1415	 0.146	 8.000	  -4.92	   0.18	  971	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 143        	10 28 54	-58 47 00	d 	  41.0	  600	 0.100	 8.450	  -4.62	   0.55	 4573	K14	  31.10	  5	      	  	4-3-p-* 	WEBDA	Lynga
 	Hogg 7           	10 29 05	-60 45 00	nf	   4.0	 4583	 0.604	 6.000	  -4.94	   0.13	  131	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Hogg 8           	10 29 10	-60 59 00	  	   3.0	 7194	 0.730	 9.150	  -5.36	  -0.44	  125	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 89         	10 29 12	-56 47 00	nf	  35.0	  380	 0.050	 8.470	  -6.05	  -0.48	 2287	K14	  20.05	  3	      	  	        	WEBDA	Lynga
 	Loden 59         	10 30 18	-54 08 00	nf	   2.0	  650	 0.020	 8.450	  -6.76	  -1.00	    5	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 168 04       	10 30 53	-53 52 00	nf	   3.0	 3084	 0.479	 9.315	  -4.67	   1.75	   54	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 90      	10 31 00	-58 27 00	nf	   5.0	 6000	 0.320	 7.100	  -3.90	   1.53	  130	K14	 -40.00	  1	      	  	4-2-p-* 	WEBDA	Lynga
P	Collinder 223    	10 32 16	-60 01 12	  	  18.0	 2820	 0.250	 8.000	  -5.32	  -2.46	 1362	K14	   2.00	   	-0.217	 2	        	WEBDA	Lynga
 	Loden 112        	10 32 24	-56 42 00	d 	   7.0	 2500	 0.600	 6.960	  -4.80	  -2.08	  159	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	ASCC 60          	10 33 07	-58 28 48	  	  14.4	  800	 0.100	 8.360	  -3.97	  -3.26	  900	K14	  37.00	  2	      	  	        	WEBDA	Lynga
 	Loden 153        	10 34 42	-58 08 00	d 	   2.0	 2670	 0.280	 6.740	  -5.85	   4.13	    5	K14	 -10.33	  3	 0.191	 1	4-2-p-* 	WEBDA	Lynga
P	Bochum 9         	10 35 46	-60 07 00	  	  15.0	  710	 0.110	 8.380	  -6.38	  -2.51	 1140	K14	  -9.82	  2	      	  	        	WEBDA	Lynga
P	NGC 3293         	10 35 51	-58 13 48	  	   6.0	 2327	 0.263	 7.014	  -7.53	   3.10	    3	K14	 -12.00	 70	      	  	        	WEBDA	Lynga
 	Loden 165        	10 35 56	-58 44 12	  	  11.0	 1900	 0.250	 9.480	  -5.81	  -3.14	  265	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 213        	10 36 14	-61 51 00	nf	  17.0	 1876	 0.416	 8.875	  -2.19	  -2.45	 1157	K14	       	   	      	  	        	WEBDA	Lynga
 	Carraro 1        	10 37 00	-58 44 00	  	   4.0	 1900	 0.250	 9.480	  -6.74	  -2.51	   73	K14	  -8.50	  1	      	  	        	WEBDA	Lynga
P	NGC 3324         	10 37 20	-58 38 30	  	  12.0	 2317	 0.438	 6.754	  -7.46	   3.11	    1	K14	  -8.50	  1	-0.474	 1	        	WEBDA	Lynga
 	BH 99            	10 37 54	-59 11 00	  	  20.0	  507	 0.055	 7.605	  -5.81	  -2.50	 1175	K14	  11.20	  4	      	  	        	WEBDA	Lynga
P	NGC 3330         	10 38 46	-54 07 24	  	   4.0	  894	 0.050	 8.229	  -6.34	   0.67	   82	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 062 11       	10 38 55	-69 02 00	d 	   6.0	  910	 0.420	 8.530	  -7.69	   2.96	  117	K14	       	   	      	  	        	WEBDA	Lynga
 	DC 5             	10 39 59	-59 11 21	  	   2.8	 4430	 0.833	 6.050	  -7.96	  -0.31	   37	K14	       	   	      	  	        	WEBDA	Lynga
 	Saurer 3         	10 41 25	-55 18 20	  	   4.0	 9550	 0.760	 9.300	  -6.73	  -1.62	   86	K14	       	   	      	  	        	WEBDA	Lynga
P	Melotte 101      	10 42 12	-65 06 00	  	  15.0	 1995	 0.480	 7.890	  -4.31	   0.79	  822	K14	  69.13	  2	      	  	        	WEBDA	Lynga
P	Bochum 10        	10 42 12	-59 08 00	  	  20.0	 2027	 0.306	 6.857	  -5.79	  -1.31	 1142	K14	  -2.30	  1	      	  	        	WEBDA	Lynga
P	IC 2602          	10 42 58	-64 24 00	  	 100.0	  161	 0.024	 7.507	 -17.49	  10.10	   22	K14	  18.12	 10	 0.000	 8	        	WEBDA	Lynga
 	Alessi 5         	10 43 08	-61 10 00	  	  33.0	  398	 0.150	 7.600	 -14.33	   4.40	   13	K14	  18.00	  1	-0.382	 1	3-3-p-* 	WEBDA	Lynga
P	Trumpler 14      	10 43 56	-59 33 00	v 	   8.4	 2900	 0.360	 6.000	  -7.25	   2.69	    1	K14	  -6.74	  3	      	  	        	WEBDA	Lynga
P	Collinder 228    	10 44 00	-60 05 12	v 	  14.0	 2201	 0.342	 6.830	  -6.55	   2.03	    1	K14	 -10.71	 11	      	  	        	WEBDA	Lynga
P	Collinder 232    	10 44 39	-59 33 36	  	   4.0	 2300	 0.480	 6.300	  -6.09	   0.75	  117	K14	  -3.00	  1	      	  	        	WEBDA	Lynga
P	Trumpler 15      	10 44 43	-59 22 00	v 	  14.0	 1853	 0.434	 6.926	  -7.71	   3.26	    1	K14	 -15.06	  2	      	  	        	WEBDA	Lynga
P	Trumpler 16      	10 45 10	-59 43 00	v 	  12.0	 2900	 0.360	 6.000	  -6.94	   1.41	  490	K14	 -22.78	  4	      	  	        	WEBDA	Lynga
 	ASCC 61          	10 46 08	-56 51 36	  	  38.4	 1700	 0.230	 7.960	  -4.54	  -0.22	 4681	K14	       	   	      	  	        	WEBDA	Lynga
P	Bochum 11        	10 47 15	-60 05 00	  	  21.0	 2412	 0.576	 6.764	  -6.01	  -0.29	 1390	K14	 -14.60	  7	      	  	        	WEBDA	Lynga
 	Ruprecht 91      	10 47 38	-57 28 02	  	  17.0	  900	 0.010	 8.630	  -3.08	   0.64	 1000	K14	 -10.58	  2	      	  	3-3-vp- 	WEBDA	Lynga
 	Loden 189        	10 50 00	-56 24 00	nf	  22.0	  720	 0.130	 8.640	  -4.84	  -0.93	 1227	K14	  49.53	  1	 0.202	 2	        	WEBDA	Lynga
 	ASCC 62          	10 50 53	-60 06 00	  	  33.6	 3000	 0.240	 7.500	  -4.23	  -1.38	 4389	K14	   0.63	  2	      	  	        	WEBDA	Lynga
