TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
229787062,229787062.01,2261.01,,,,,,,,PC,,12.4841,0.006999999999999999,284.022679,70.25412,-12.668,2.195,-9.508,2.195,2458683.4839,,1.9011,,1.715732,,1579.0,,1.3275,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,,,,368.055,,5392.0,,,,0.986402,,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229791084,229791084.01,1864.01,,,,,,,,PC,,12.2856,0.006999999999999999,284.443905,69.570837,-5.575,0.035,-3.373,0.044000000000000004,2458683.923,,1.6452,,19.055891,,17398.0,,3.055,,,,,,,,,,19.02,,,,,,,,,,,,,,,,,,,,559.068,6.021,6023.0,120.68799999999999,4.24585,0.0783279,1.32044,0.058771300000000005,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229808144,229808144.01,,,,,,,,,PC,,10.0221,0.6,354.217056,-69.540151,-0.871,0.07,8.36,0.063,2458337.3433,,11.61111,,70.25151899999999,,62655.1613510401,,4.8,,,,,,,,,,76.9550369620887,,,,,,,,,,,,,,,,,,,,409.82099999999997,6.737,,,,,,,2019-06-22 00:19:17,lipponen,,3787,sector1
229808144,229808144.02,,,,,,,,,PC,,10.0221,0.6,354.217056,-69.540151,-0.871,0.07,8.36,0.063,2458331.3489,,11.60764,,18.714596,,17089.076693253603,,4.73333333333333,,,,,,,,,,40.189992408918705,,,,,,,,,,,,,,,,,,,,409.82099999999997,6.737,,,,,,,2019-06-22 00:19:17,lipponen,,3787,sector1
229950972,229950972.01,,,,,,,,,PC,,11.7401,0.006,288.79922,60.225326,4.504,0.04,14.482999999999999,0.035,2458935.2909999997,0.0036,,,6.9874339999999995,1.409114,6415.0,1297.0,,,,,,,,,,,8.9047,0.9894,,,,,,,,,,,,,,,,,,,332.767,2.31,5990.0,127.42200000000001,4.462940000000001,0.07865599999999999,1.0206,0.0469548,2022-04-28 22:03:58,dragomir,tfopwg,415403,single transit event from the TSTPC working group
230001847,230001847.01,2337.01,,,,,,,,PC,,11.2347,0.006999999999999999,290.61989500000004,60.85390400000001,-10.335,0.039,9.837,0.042,,,2.9939999999999998,0.001,0.8689370000000001,0.217169,800.0,200.0,7.5,1.5,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,536.0459999999999,5.9135,4784.0,122.0,,,3.22859,,2020-08-24 08:25:48,grunblatt,,33592,hot Jupiter candidate around evolved star
230007816,230007816.01,,,,,,,,,PC,,12.1792,0.006999999999999999,290.938304,62.352571,-6.864,0.043,-13.714,0.042,2458684.103,,2.6271,,2.0931439999999997,,1926.0,,3.405,,,,,,,,,,8.82,,,,,,,,,,,,,,,,,,,,796.539,14.994000000000002,6239.0,123.584,3.9908,0.0855474,1.8408900000000001,0.0877286,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230013820,230013820.01,,,,,,,,,PC,,14.3536,0.006999999999999999,291.148597,65.167711,14.804,0.07400000000000001,-2.0340000000000003,0.07,2458683.559,,0.8395,,8.789775,,8063.0,,2.3582,,,,,,,,,,6.36,,,,,,,,,,,,,,,,,,,,305.221,2.7295,3793.0,157.0,4.61105,0.0121431,0.648223,0.019681200000000003,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230016502,230016502.01,,,,,,,,,PC,,12.9466,0.006999999999999999,291.320827,62.812191000000006,-11.644,0.028999999999999998,-9.282,0.027999999999999997,2458685.3235,,2.9608,,9.348145,,8573.0,,3.92,,,,,,,,,,17.29,,,,,,,,,,,,,,,,,,,,985.613,12.5905,6055.0,125.564,4.02511,0.08160099999999999,1.7101,0.0829447,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230023734,230023734.01,,,,,,,,,PC,,9.65178,0.006,291.997788,65.44924499999999,-24.443,0.064,-10.683,0.052000000000000005,2459025.645,0.005,10.0627,,0.727687,0.021715,670.0,20.0,3.42,,,,,,0.0259,0.0004,,,4.24,0.06,,,,,,,,,0.1045,0.0016,,,,,,,,,212.75099999999998,1.402,6476.0,128.639,4.20563,0.08727510000000001,1.5014299999999998,0.067,2020-08-10 17:42:50,deen,,29580,"U-shaped, very weak & uncertain secondary."
230050959,230050959.01,,,,,,,,,PC,,11.9576,0.006999999999999999,292.079933,62.908618000000004,-3.897,0.057,-6.517,0.059000000000000004,2458683.9262,,1.1276,,2.7765169999999997,,2554.0,,1.4880000000000002,,,,,,,,,,10.84,,,,,,,,,,,,,,,,,,,,753.2230000000001,15.347999999999999,6168.0,123.93299999999999,3.9231300000000005,0.08058799999999999,1.9652,0.0982938,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230087585,230087585.01,1868.01,,,,,,,,PC,,12.6053,0.008,247.125627,69.030975,-2.096,0.135,14.467,0.134,2458687.0791,,8.825,,5.520867,,5072.0,,3.3805,,,,,,,,,,12.14,,,,,,,,,,,,,,,,,,,,766.2710000000001,35.2075,6016.0,127.479,4.0969,0.08889010000000001,1.56043,0.09887699999999999,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230112571,230112571.01,,,,,,,,,PC,,11.2257,0.006,248.58966800000002,68.893119,-9.602,0.032,20.43,0.04,2458683.8424,,0.5307,,0.7168220000000001,,660.0,,1.49,,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,,,412.657,3.0,6050.0,121.744,4.10279,0.076188,1.56379,0.0685553,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230127302,230127302.04,1246.04,,,,,,,,PC,,11.1802,0.006,251.11587000000003,70.429992,-48.023999999999994,0.047,81.928,0.051,2458700.7316900003,0.0,37.91713,0.0,,,,,3.5000160000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.422,0.6709999999999999,5141.0,122.04899999999999,4.49143,0.0842768,0.8761540000000001,0.051,2020-03-12 16:07:18,holstkristiansen,,18072,NOT an integer multiple of TOI 1246.01
230130556,230130556.01,,,,,,,,,PC,,10.8972,0.006,251.680542,70.018712,1.013,0.036000000000000004,4.01,0.044000000000000004,2459645.1380000003,0.018000000000000002,,,12.0971,0.369213,11080.0,340.0,8.533,0.877,,,,,,,,,20.92,0.318,,,,,,,,,,,,,,,,,,,466.909,4.747,6509.0,126.325,4.04599,0.08887880000000001,1.818,0.0780452,2022-05-03 06:06:41,vogl,,415462,Found with our in-house single transit finder; Sector 49
230236827,230236827.01,,,,,,,,,PC,,10.9759,0.006,261.53387000000004,42.593601,5.606,0.044000000000000004,37.855,0.05,2459034.825,0.01,0.7076,,1.303666,0.217169,1200.0,200.0,0.91,,,,,,0.0346,0.003,,,2.53,0.22,,,,,,,,,0.013730000000000001,0.00054,,,,,,,,,85.1046,0.1811,4404.0,126.024,4.62489,0.101823,0.669902,0.057160800000000005,2020-08-10 19:28:12,deen,,29583,"V-shaped, 68 transits"
230375747,230375747.01,1870.01,,,,,,,,PC,,12.8079,0.006999999999999999,285.020668,63.42983,-0.7490000000000001,0.124,-1.828,0.11599999999999999,2458685.5699,,2.7635,,14.83322,,13569.0,,4.533,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,876.378,44.53,6511.0,126.57700000000001,4.25387,0.0900612,1.43103,0.0962086,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230387153,230387153.01,2086.01,,,,,,,,PC,,11.315999999999999,0.006,285.921685,65.78567199999999,15.932,0.055999999999999994,63.446999999999996,0.046,2458686.8958799997,,41.753761,,,,,,5.166672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.265,1.2415,5337.0,124.039,4.48036,0.0804313,0.914083,0.0509548,2020-03-13 00:12:13,holstkristiansen,,18083,Low SNR PC-signal for a quiet star
230389303,230389303.01,,,,,,,,,PC,,14.6881,0.006999999999999999,286.20389900000004,62.127340000000004,5.8020000000000005,0.071,13.675999999999998,0.067,2458688.0907,,7.6903,,4.1837919999999995,,3846.0,,2.344,,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,246.565,1.946,3606.0,157.0,4.72156,0.00925598,0.518143,0.015888399999999997,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230980206,230980206.01,2649.01,,,,,,,,PC,,12.4752,0.006,24.009341,-55.793785,8.512,0.03,0.255,0.031,2458357.498828,,3.3762809999999996,,11.903118,,10903.3,,3.61,,,,0.0,,0.09862,,,,13.895925669109054,,,,,,,,,,,,,,,,,,,,626.504,9.0525,6408.0,132.316,4.377759999999999,0.0877794,1.2174399999999999,0.055201,2021-02-08 16:07:01,olmschenk,,94017,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
231071138,231071138.01,2393.01,,,,,,,,PC,,12.0585,0.006,32.943352000000004,-56.756226,52.147,0.036000000000000004,18.703,0.037000000000000005,2458337.0773,0.0028,18.84169,0.0012900000000000001,6.383312999999999,,5862.0,,0.139,0.01,88.75,0.29,0.74,0.05,0.076,0.004,33.75,4.55,9.1,0.97,,,,,,,2.05,1.15,,,,,,,,,,,372.18,3.082,5603.0,125.44,4.35297,0.0813245,1.09741,0.054351800000000006,2020-08-10 07:20:18,montalto,,29508,"new CTOI, Montalto et al. (2020)"
231279823,231279823.01,,,,,,,,,PC,,8.70466,0.006999999999999999,42.539739000000004,-53.136803,-114.609,0.04,503.079,0.043,2458361.64103,0.0010400000000000001,5.97607,0.00073,,,0.0,0.0,0.11599999999999999,0.002,89.98,0.47,0.005,0.14,0.0363,0.0005,17.2,0.3,1.83,0.06,,,11.8,1.0,516.5,10.5,,,0.0516,0.0001,0.0,0.0,,,,,,,13.2017,0.0042,3592.0,157.0,4.77196,0.00654705,0.460762,0.013668200000000002,2019-06-10 08:31:44,cloutier,,4044,new CTOI from ORION (https://arxiv.org/abs/1812.08145)
231346067,231346067.01,,,,,,,,,PC,,12.3809,0.006,97.223463,-35.858503000000006,-3.343,0.040999999999999995,-4.692,0.037000000000000005,2458467.3558,0.0039,1.29188,0.00018,2.089881,,1923.0,,0.157,0.011000000000000001,70.75,5.65,0.68,0.08,0.043,0.006999999999999999,2.07,0.32,9.18,1.9,,,,,,,0.1,0.06,,,,,,,,,,,863.169,18.828,6106.0,129.822,3.91644,0.0836074,1.9550599999999998,0.0962714,2020-08-10 07:20:18,montalto,,29453,"new CTOI, Montalto et al. (2020)"
231630147,231630147.01,4400.01,,,,,,,,PC,,11.943,0.006,317.159425,-55.56516,3.471,0.045,-21.988000000000003,0.045,2458318.3934,0.0033,7.064369999999999,0.00124,12.767026,,11690.0,,0.151,0.005,84.82,0.32,0.89,0.03,0.10300000000000001,0.011000000000000001,9.81,0.51,18.39,2.9,,,,,,,0.36,0.1,,,,,,,,,,,534.436,8.3535,5672.0,125.77,4.01502,0.0795102,1.63563,0.0853693,2020-08-10 07:20:18,montalto,,29504,"new CTOI, Montalto et al. (2020)"
231682442,231682442.01,,,,,,,,,PC,,11.0055,0.006,249.84320699999998,-44.587476,-0.4,2.3,-6.8,2.3,2458647.2468,0.004,,,13.690223999999999,2.3586080000000003,12530.0,2170.0,4.8,,,,,,,,,,19.7659,,,,,,,,,,,,,,,,,,,,370.48400000000004,,6802.0,,,,1.61563,,2022-04-28 22:03:58,dragomir,tfopwg,415411,single transit event from the TSTPC working group
231714759,231714759.01,,,,,,,,,PC,,9.3827,0.006,352.59283,-58.426306999999994,15.424000000000001,0.053,-6.084,0.055999999999999994,2458327.2661,,5.486111,,3091.802607,,942019.9004083041,,7.13333333333333,,,,,,,,,,121.31161162738998,,,,,,,,,,,,,,,,,,,,448.95099999999996,6.651,7087.0,142.892,3.6566699999999996,0.08572819999999999,3.0807,0.13071300000000002,2019-06-06 03:40:31,lipponen,,3787,sector1
231714759,231714759.02,,,,,,,,,PC,,9.3827,0.006,352.59283,-58.426306999999994,15.424000000000001,0.053,-6.084,0.055999999999999994,2458330.0022,,5.459722,,578.900274,,413267.844291161,,11.6333333333333,,,,,,,,,,385.907162312388,,,,,,,,,,,,,,,,,,,,448.95099999999996,6.651,7087.0,142.892,3.6566699999999996,0.08572819999999999,3.0807,0.13071300000000002,2019-06-06 03:40:31,lipponen,,3787,sector1
231833061,231833061.01,,,,,,,,,PC,,10.9619,0.006,24.007409,-65.690833,53.431000000000004,0.047,3.428,0.040999999999999995,2458333.6009,,,,2131.635561,,859606.8962159391,,11.333333333333302,,,,,,,,,,43.3579210971557,,,,,,,,,,,,,,,,,,,,128.586,0.419,4580.0,124.132,4.34877,0.09669169999999999,0.9404,0.0700326,2019-05-12 09:25:49,lipponen,,3542,firstBulkUpload
231833061,231833061.02,,,,,,,,,PC,,10.9619,0.006,24.007409,-65.690833,53.431000000000004,0.047,3.428,0.040999999999999995,2458346.5177,,,,763.0216360000001,,504787.788125685,,3.0,,,,,,,,,,81.4312752107359,,,,,,,,,,,,,,,,,,,,128.586,0.419,4580.0,124.132,4.34877,0.09669169999999999,0.9404,0.0700326,2019-05-12 09:25:49,lipponen,,3542,firstBulkUpload
231840927,231840927.01,,,,,,,,,PC,,10.0031,0.006,25.17662,-65.419403,25.725,0.044000000000000004,9.245,0.051,2458324.975,0.0008,0.81782,2e-05,3.38299,,3111.0,,0.051,0.003,77.67,2.25,0.78,0.05,0.057999999999999996,0.006,3.65,0.39,6.33,0.94,,,,,,,1.37,0.55,,,,,,,,,,,137.751,0.4725,5726.4,128.415,4.4463099999999995,0.078337,1.00042,0.0514975,2020-08-10 07:20:18,montalto,,29354,"new CTOI, Montalto et al. (2020)"
231860752,231860752.01,,,,,,,,,PC,,8.582,0.018000000000000002,28.867949,-63.077165,3.248,0.071,11.734000000000002,0.084,2458327.8089,,0.9888889000000001,,11.36239,,10410.5787775296,,2.03333333333333,,,,,,,,,,35.728527670830495,,,,,,,,,,,,,,,,,,,,302.8677,36.5461,,,,,,,2019-06-22 00:19:17,lipponen,,3787,sector1
231945429,231945429.01,,,,,,,,,PC,,10.5757,0.006,94.142332,-44.637833,9.394,0.14800000000000002,7.847,0.183,2458420.2819,0.0014,30.461809999999996,,5.374646,,4938.0,,0.124,0.006999999999999999,88.37,0.18,1.02,0.1,0.11599999999999999,0.129,35.79,4.02,27.21,31.71,,,,,,,0.94,0.33,,,,,,,,,,,462.189,16.2115,6458.0,127.066,3.8908199999999997,0.0900782,2.14912,0.122151,2020-08-10 07:20:18,montalto,,29344,"new CTOI, Montalto et al. (2020)"
231969683,231969683.01,,,,,,,,,PC,,10.6543,0.006,95.302092,-43.156636,3.438,0.085,5.297999999999999,0.094,2459184.688,0.002,,,11.822659,0.054288,10830.0,50.0,2.533,0.16699999999999998,,,,,,,,,15.377,0.033,,,,,,,,,,,,,,,,,,,320.893,5.6285,6692.0,139.717,4.32827,0.0917087,1.3522100000000001,0.061909500000000006,2021-02-05 02:29:40,steuer,,93822,Found with our in-house single transit finder; Sector 32
232608943,232608943.02,,,,,,,,,PC,,11.8787,0.006,258.45036699999997,64.56617299999999,7.459,0.042,0.215,0.046,2459751.601,0.002,965.64,0.02,14.207118,1.086279,13000.0,1000.0,11.5,0.5,,,,,,,,,10.5,0.5,,,,,,,,,,,,,,,,,,,216.05599999999998,1.1645,5073.0,123.876,4.52682,0.0847453,0.831915,0.0509397,2022-07-30 19:52:50,wzhou,,418122,"Candidate from the XESP working group. Period from QLP, may be half. Details at: http://xjltp.china-vo.org/xesp.html"
232612421,232612421.01,,,,,,,,,PC,,13.8792,0.008,259.027121,63.114143999999996,-3.252,0.076,-81.04899999999999,0.055,2458687.1165,,4.3605,,5.806818,,5334.0,,2.185,,,,,,,,,,4.23,,,,,,,,,,,,,,,,,,,,167.364,0.7515,3609.0,157.0,4.71129,0.00906737,0.529961,0.0157327,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
232632890,232632890.01,,,,,,,,,PC,,12.8482,0.006999999999999999,269.548469,59.360062,0.47200000000000003,0.091,-10.359000000000002,0.078,2458683.5219,,0.674,,7.357938000000001,,6754.0,,1.169,,,,,,,,,,13.44,,,,,,,,,,,,,,,,,,,,600.776,14.4455,5073.0,123.87700000000001,4.01654,0.08586139999999999,1.49787,0.0963567,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
232641326,232641326.01,1874.01,,,,,,,,PC,,11.5816,0.006999999999999999,281.44921,56.381701,8.652999999999999,0.05,1.588,0.044000000000000004,2458684.7654,,35.7392,,11.510978999999999,,10546.0,,5.625,,,,,,,,,,18.34,,,,,,,,,,,,,,,,,,,,639.003,9.7765,7013.0,125.758,4.19824,0.08481799999999999,1.6355899999999999,0.0695729,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
232982938,232982938.01,1828.01,,,,,,,,PC,,11.1315,0.006999999999999999,241.562248,69.621802,-13.263,0.033,23.836,0.033,2458690.7312,,9.094,,2.910413,,2677.0,,5.242999999999999,,,,,,,,,,8.83,,,,,,,,,,,,,,,,,,,,369.986,2.467,5809.0,127.243,4.06758,0.0756534,1.56229,0.077902,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233047097,233047097.01,1875.01,,,,,,,,PC,,12.9417,0.006999999999999999,268.6609,60.356411,-5.109,0.024,-9.682,0.025,2458692.244,,11.3089,,3.74355,,3442.0,,1.5009,,,,,,,,,,7.99,,,,,,,,,,,,,,,,,,,,677.8739999999999,5.2985,5817.0,128.49,4.2672,0.07801720000000001,1.24747,0.0617663,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233051157,233051157.01,,,,,,,,,PC,,12.1896,0.006999999999999999,268.798379,61.105198,-12.045,0.042,-20.998,0.057,2458683.922,,0.7201,,0.838512,,772.0,,2.0397,,,,,,,,,,5.26,,,,,,,,,,,,,,,,,,,,676.7489999999999,10.2155,5869.0,127.91799999999999,3.98498,0.08106619999999999,1.73459,0.0887965,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233058262,233058262.01,,,,,,,,,PC,,14.6721,0.006999999999999999,269.496281,64.068673,10.284,0.068,6.557,0.096,2458698.281,,70.9792,,21.665626,,19757.0,,4.627,,,,,,,,,,8.47,,,,,,,,,,,,,,,,,,,,278.811,2.5675,3720.0,157.0,4.6925,0.0101131,0.551668,0.0167898,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233058265,233058265.01,,,,,,,,,PC,,11.732999999999999,0.006,269.477498,64.06908100000001,-7.075,0.049,-5.034,0.061,2458690.4236,,26.276999999999997,,6.273013,,5761.0,,1.452,,,,,,,,,,12.49,,,,,,,,,,,,,,,,,,,,488.434,5.841,5952.0,127.029,4.1195900000000005,0.0773712,1.50645,0.07346230000000001,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233068569,233068569.01,2181.01,,,,,,,,PC,,12.1625,0.006,270.558091,63.54963000000001,-11.49,0.047,2.589,0.044000000000000004,2458686.8798,,8.379,,3.8437879999999995,,3534.0,,3.7324,,,,,,,,,,5.94,,,,,,,,,,,,,,,,,,,,322.09,2.2635,5574.0,121.315,4.50874,0.0771326,0.914451,0.0446834,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233078665,233078665.01,1876.01,,,,,,,,PC,,12.8182,0.006999999999999999,271.611889,62.176751,-4.06,0.057999999999999996,4.82,0.052000000000000005,2458687.6938,,6.4824,,5.544875,,5094.0,,2.623,,,,,,,,,,13.49,,,,,,,,,,,,,,,,,,,,1119.32,31.54,6748.0,125.15,4.12021,0.09449880000000001,1.73025,0.08623120000000001,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233126177,233126177.01,,,,,,,,,PC,,10.9601,0.006,273.93937200000005,61.450778,-1.59,0.051,2.076,0.048,2459717.065,0.005,65.945,0.01,20.827482,1.086279,19000.0,1000.0,10.2,0.1,,,,,,,,,24.8,0.5,,,,,,,,,,,,,,,,,,,356.392,3.208,5793.0,129.611,4.02171,0.079848,1.6470200000000002,0.08200249999999999,2022-07-02 23:48:33,wzhou,,416745,XESP exoplanet candidate. Period from QLP data. Details at: http://xjltp.china-vo.org/xesp.html
233188747,233188747.01,4429.01,,,,,,,,PC,,12.7714,0.006,225.58963799999998,70.94959399999999,4.614,0.035,-16.482,0.027999999999999997,2458683.6050150003,,3.45057,,16.032623,,14658.1,,3.1903999999999995,,,,0.38799999999999996,,0.11092,,,,13.89781303165642,,,,,,,,,,,,,,,,,,,,461.898,3.5425,5402.0,121.807,4.374619999999999,0.082245,1.04301,0.0557789,2021-02-08 16:07:01,olmschenk,,94018,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
233190203,233190203.01,,,,,,,,,PC,,11.0466,0.006999999999999999,225.867566,68.551464,-153.964,0.043,40.939,0.04,2458722.6689,0.0068,,,5.909429,6.458673999999999,5428.0,5931.0,6.9,,,,,,,,,,11.2431,6.1639,,,,,,,,,,,,,,,,,,,369.538,2.9575,6298.0,128.814,4.232080000000001,0.0857942,1.4115799999999998,0.0638568,2022-04-28 22:03:58,dragomir,tfopwg,415353,single transit event from the TSTPC working group
233194447,233194447.01,,,,,,,,,PC,,8.71433,0.006,263.94993700000003,66.758971,5.577999999999999,0.054000000000000006,-24.944000000000003,0.057999999999999996,2458770.49,0.05,0.0,,0.543004,0.108579,500.0,100.0,24.0,4.0,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,207.771,1.1415,6582.0,126.29799999999999,3.89425,0.0861232,2.18912,0.0917612,2020-01-24 10:12:04,eisner,,15946,Planet Hunters TESS candidate. Single transit event.
233195052,233195052.01,,,,,,,,,PC,,14.8872,0.006999999999999999,264.252394,67.093558,-6.412999999999999,0.055999999999999994,18.875999999999998,0.059000000000000004,2458685.048,,2.6801,,12.940615,,11848.0,,4.296,,,,,,,,,,7.07,,,,,,,,,,,,,,,,,,,,373.04,4.176,3954.0,157.0,4.655869999999999,0.012154799999999999,0.594493,0.0190858,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233208635,233208635.01,,,,,,,,,PC,,12.8254,0.006,266.45685699999996,70.111293,-7.869,0.023,70.74600000000001,0.025,2458689.3292,,8.7423,,3.447251,,3170.0,,5.0561,,,,,,,,,,5.51,,,,,,,,,,,,,,,,,,,,414.159,2.051,5473.0,122.54899999999999,4.51472,0.07967830000000001,0.8960950000000001,0.044773900000000005,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233267414,233267414.01,,,,,,,,,PC,,11.1743,0.006,299.893729,54.455847,-12.81,0.05,-21.234,0.045,2459425.344,0.032,,,5.322274,0.651637,4890.0,600.0,14.6,1.635,,,,,,,,,14.633,0.867,,,,,,,,,,,,,,,,,,,494.587,5.795,6186.0,161.44899999999998,3.94751,0.0826948,1.91405,0.0891859,2021-10-04 06:57:02,vogl,,100309,Found with our in-house single transit finder; Sector 41
233496435,233496435.01,,,,,,,,,PC,,12.8484,0.008,249.26996200000002,72.288041,-5.843,0.026000000000000002,-26.853,0.035,2458684.2425,,43.0107,,7.152450999999999,,6566.0,,4.345,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,857.416,11.958,6122.0,121.289,4.13558,0.0783314,1.5257100000000001,0.070809,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233497719,233497719.01,1877.01,,,,,,,,PC,,12.8746,0.008,249.519983,77.756401,-4.9239999999999995,0.023,39.626,0.03,2458686.4953,,3.8012,,17.283876,,15793.0,,3.1919999999999997,,,,,,,,,,13.85,,,,,,,,,,,,,,,,,,,,565.519,4.5015,6051.0,127.271,4.48286,0.0806375,1.00959,0.0453467,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233503636,233503636.01,1871.01,,,,,,,,PC,,11.5906,0.012,251.23570299999997,77.344038,2.762,0.046,-0.365,0.053,2458685.826,,3.4057,,1.485217,,1367.0,,1.3242,,,,,,,,,,6.73,,,,,,,,,,,,,,,,,,,,526.243,6.3915,6159.0,139.023,4.06274,0.0832523,1.66632,0.0757538,2020-04-01 15:11:51,kruse,,18582,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
233511804,233511804.01,,,,,,,,,PC,,15.5468,0.008,270.78438,50.196382,-5.357,0.131,11.853,0.135,2458984.19099701,0.00156394,0.76314997,8.518e-05,102.74257800000001,61.638797,90290.0,55190.0,1.291,0.036000000000000004,,,0.368,0.23600000000000002,0.28856,0.08678,5.55,0.08,15.84,4.84,,,,,,,,,,,,,,,,,,,293.568,5.6865,3214.0,157.0,4.73379,0.010557200000000001,0.50413,0.0170891,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:B,PMS?,1.8e+07yr,MissingRot?. Rp=(1.14-1.57)Rj. b=0.00-0.63 (3-97HDI)."
